Program name	ME58P82_G0A89BA.jtf
Lot number	FA55-4429-325A-250502@203
Wafer number	4
Date	2025/05/02
Time	16:38:45

No.U	X	Y	Bin	CONT	IGSS0	IGSS10	ISGS10	VTH0.25	BVDSS0.25	BVDSS10	IDSS240	IDSS250	IGSS16	ISGS16	IGSS18	ISGS18	VTH0.25_2
LimitU				0.500V	99.00uA	100.0nA	100.0nA	4.500V	300.0V	300.0V	800.0nA	800.0nA	200.0nA	200.0nA	200.0nA	200.0nA	4.500V	
LimitL				0V	0A	0A	0A	2.500V	250.0V	250.0V	0A	0A	0A	0A	0A	0A	2.500V	
Bias 1				1.00mA	1.00V	10.0V	10.0V	250uA	250uA	10.0mA	240V	250V	16.0V	16.0V	18.0V	18.0V	250uA
Bias 2				
Bias 3									350V	350V
Bias 4				2.50ms	10.0ms	40.0ms	40.0ms	2.00ms	20.0ms	10.0ms	20.0ms	20.0ms	40.0ms	40.0ms	40.0ms	40.0ms	2.00ms	
Bias 5				
Bias 6				
1	9	5	1	2.000E-03	1.000E-08	4.000E-09	1.900E-09	3.782E+00	2.893E+02	2.914E+02	9.160E-08	1.217E-07	5.000E-10	5.000E-10	6.000E-10	4.000E-10	3.781E+00	
2	10	5	1	1.000E-03	1.000E-08	3.500E-09	4.000E-10	3.694E+00	2.913E+02	2.927E+02	9.230E-08	1.222E-07	2.400E-09	4.500E-09	2.000E-10	3.000E-10	3.693E+00	
3	11	5	1	2.000E-03	0.000E+00	5.000E-10	1.500E-09	3.646E+00	2.923E+02	2.933E+02	9.230E-08	1.223E-07	4.900E-09	2.500E-09	1.400E-09	2.900E-09	3.646E+00	
4	12	5	1	2.000E-03	0.000E+00	3.200E-09	5.700E-09	3.740E+00	2.924E+02	2.935E+02	9.160E-08	1.205E-07	1.500E-09	1.100E-09	4.600E-09	7.000E-10	3.741E+00	
5	13	5	1	1.000E-03	0.000E+00	2.000E-09	5.000E-09	3.690E+00	2.921E+02	2.933E+02	9.090E-08	1.189E-07	1.000E-09	3.000E-09	1.600E-09	4.400E-09	3.690E+00	
6	14	6	1	2.000E-03	3.000E-08	3.400E-09	1.000E-10	3.623E+00	2.923E+02	2.933E+02	9.510E-08	1.239E-07	6.900E-09	1.200E-09	3.100E-09	4.000E-10	3.623E+00	
7	13	6	1	2.000E-03	0.000E+00	6.000E-10	1.400E-09	3.557E+00	2.920E+02	2.932E+02	9.670E-08	1.273E-07	1.800E-09	3.000E-10	1.600E-09	1.200E-09	3.557E+00	
8	12	6	1	2.000E-03	0.000E+00	8.000E-10	4.300E-09	3.635E+00	2.919E+02	2.931E+02	9.600E-08	1.272E-07	8.200E-09	1.700E-09	5.700E-09	2.800E-09	3.636E+00	
9	11	6	1	2.000E-03	1.000E-08	1.900E-09	5.000E-10	3.554E+00	2.918E+02	2.929E+02	9.760E-08	1.282E-07	2.100E-09	1.200E-09	3.200E-09	4.200E-09	3.554E+00	
10	10	6	1	1.000E-03	1.000E-08	8.000E-10	6.100E-09	3.564E+00	2.918E+02	2.928E+02	9.670E-08	1.278E-07	3.800E-09	1.200E-09	8.000E-10	4.200E-09	3.564E+00	
11	9	6	1	1.000E-03	1.000E-08	7.000E-10	4.000E-09	3.660E+00	2.918E+02	2.928E+02	9.330E-08	1.226E-07	6.200E-09	7.400E-09	0.000E+00	3.200E-09	3.661E+00	
12	8	6	1	1.000E-03	0.000E+00	1.100E-09	2.100E-09	3.667E+00	2.896E+02	2.914E+02	9.060E-08	1.215E-07	3.400E-09	1.800E-09	3.600E-09	1.900E-09	3.667E+00	
13	7	7	1	2.000E-03	0.000E+00	2.000E-10	1.300E-09	3.615E+00	2.897E+02	2.919E+02	8.890E-08	1.183E-07	4.600E-09	0.000E+00	8.000E-10	1.200E-09	3.615E+00	
14	8	7	1	2.000E-03	3.000E-08	1.300E-09	1.100E-09	3.615E+00	2.918E+02	2.929E+02	9.270E-08	1.221E-07	5.500E-09	1.100E-09	0.000E+00	4.000E-10	3.616E+00	
15	9	7	1	2.000E-03	1.000E-08	1.000E-09	1.800E-09	3.574E+00	2.915E+02	2.927E+02	9.670E-08	1.282E-07	2.500E-09	5.000E-10	1.100E-09	2.900E-09	3.573E+00	
16	10	7	1	2.000E-03	2.000E-08	2.200E-09	2.600E-09	3.542E+00	2.908E+02	2.920E+02	9.990E-08	1.311E-07	4.500E-09	1.900E-09	1.900E-09	5.000E-10	3.542E+00	
17	11	7	1	2.000E-03	0.000E+00	1.900E-09	3.000E-09	3.543E+00	2.904E+02	2.917E+02	9.980E-08	1.318E-07	3.500E-09	7.000E-10	6.000E-10	3.400E-09	3.542E+00	
18	12	7	1	2.000E-03	0.000E+00	4.100E-09	6.400E-09	3.570E+00	2.905E+02	2.918E+02	1.000E-07	1.320E-07	1.400E-09	1.700E-09	5.100E-09	6.800E-09	3.570E+00	
19	13	7	1	2.000E-03	4.000E-08	3.000E-10	1.100E-09	3.503E+00	2.907E+02	2.921E+02	1.003E-07	1.327E-07	2.000E-10	9.000E-10	1.100E-09	4.800E-09	3.503E+00	
20	14	7	1	2.000E-03	0.000E+00	0.000E+00	2.500E-09	3.535E+00	2.914E+02	2.927E+02	1.009E-07	1.314E-07	7.000E-10	2.300E-09	7.000E-10	1.000E-10	3.534E+00	
21	15	7	1	1.000E-03	2.000E-08	1.800E-09	5.000E-10	3.773E+00	2.920E+02	2.931E+02	9.640E-08	1.272E-07	5.300E-09	5.000E-10	2.500E-09	1.200E-09	3.774E+00	
22	16	8	1	2.000E-03	2.000E-08	1.200E-09	2.500E-09	3.584E+00	2.919E+02	2.928E+02	9.830E-08	1.273E-07	4.000E-10	3.000E-09	1.200E-09	3.700E-09	3.584E+00	
23	15	8	1	2.000E-03	2.000E-08	2.200E-09	1.400E-09	3.595E+00	2.911E+02	2.925E+02	1.023E-07	1.325E-07	6.100E-09	3.000E-10	0.000E+00	6.000E-10	3.594E+00	
24	14	8	1	1.000E-03	0.000E+00	2.000E-09	0.000E+00	3.475E+00	2.899E+02	2.914E+02	1.034E-07	1.368E-07	9.000E-10	1.300E-09	5.000E-09	2.300E-09	3.474E+00	
25	13	8	1	2.000E-03	0.000E+00	2.600E-09	1.000E-10	3.463E+00	2.891E+02	2.904E+02	1.043E-07	1.390E-07	1.200E-09	0.000E+00	5.700E-09	1.700E-09	3.463E+00	
26	12	8	1	1.000E-03	6.000E-08	1.800E-09	2.600E-09	3.529E+00	2.889E+02	2.901E+02	1.048E-07	1.386E-07	3.200E-09	1.200E-09	2.900E-09	2.500E-09	3.529E+00	
27	11	8	1	1.000E-03	1.000E-08	7.000E-10	6.000E-10	3.546E+00	2.890E+02	2.903E+02	1.027E-07	1.372E-07	1.000E-09	4.600E-09	1.100E-09	2.000E-09	3.546E+00	
