Program name	ME58P82_G0A89BA.jtf
Lot number	FA55-4429-325A-250502@203
Wafer number	18
Date	2025/05/02
Time	18:11:27

No.U	X	Y	Bin	CONT	IGSS0	IGSS10	ISGS10	VTH0.25	BVDSS0.25	BVDSS10	IDSS240	IDSS250	IGSS16	ISGS16	IGSS18	ISGS18	VTH0.25_2
LimitU				0.500V	99.00uA	100.0nA	100.0nA	4.500V	300.0V	300.0V	800.0nA	800.0nA	200.0nA	200.0nA	200.0nA	200.0nA	4.500V	
LimitL				0V	0A	0A	0A	2.500V	250.0V	250.0V	0A	0A	0A	0A	0A	0A	2.500V	
Bias 1				1.00mA	1.00V	10.0V	10.0V	250uA	250uA	10.0mA	240V	250V	16.0V	16.0V	18.0V	18.0V	250uA
Bias 2				
Bias 3									350V	350V
Bias 4				2.50ms	10.0ms	40.0ms	40.0ms	2.00ms	20.0ms	10.0ms	20.0ms	20.0ms	40.0ms	40.0ms	40.0ms	40.0ms	2.00ms	
Bias 5				
Bias 6				
1	9	5	1	1.000E-03	0.000E+00	1.800E-09	1.200E-09	3.774E+00	2.896E+02	2.915E+02	8.590E-08	1.148E-07	1.700E-09	1.000E-09	1.000E-09	1.900E-09	3.774E+00	
2	10	5	1	1.000E-03	0.000E+00	3.000E-10	1.500E-09	3.707E+00	2.912E+02	2.926E+02	8.700E-08	1.156E-07	3.200E-09	9.000E-10	2.800E-09	1.300E-09	3.707E+00	
3	11	5	1	2.000E-03	0.000E+00	3.000E-10	2.800E-09	3.696E+00	2.919E+02	2.932E+02	8.530E-08	1.126E-07	4.100E-09	1.000E-10	2.200E-09	1.000E-10	3.695E+00	
4	12	5	1	1.000E-03	0.000E+00	6.300E-09	3.000E-10	3.756E+00	2.922E+02	2.933E+02	8.540E-08	1.115E-07	2.000E-10	1.000E-09	1.100E-09	2.700E-09	3.756E+00	
5	13	5	1	1.000E-03	1.000E-08	2.100E-09	1.500E-09	3.762E+00	2.920E+02	2.932E+02	8.250E-08	1.086E-07	2.900E-09	1.400E-09	1.000E-09	1.500E-09	3.762E+00	
6	14	6	1	1.000E-03	1.000E-08	2.600E-09	6.000E-10	3.662E+00	2.924E+02	2.935E+02	8.590E-08	1.133E-07	5.700E-09	2.300E-09	4.000E-10	1.000E-10	3.661E+00	
7	13	6	1	2.000E-03	5.000E-08	2.600E-09	2.400E-09	3.630E+00	2.923E+02	2.934E+02	8.820E-08	1.162E-07	4.000E-09	3.000E-10	0.000E+00	9.000E-10	3.629E+00	
8	12	6	1	2.000E-03	5.000E-08	1.000E-10	2.000E-10	3.674E+00	2.921E+02	2.933E+02	8.910E-08	1.183E-07	6.800E-09	2.000E-09	2.900E-09	6.000E-10	3.674E+00	
9	11	6	1	1.000E-03	0.000E+00	3.000E-10	1.600E-09	3.630E+00	2.919E+02	2.931E+02	9.060E-08	1.192E-07	7.200E-09	3.100E-09	1.700E-09	3.700E-09	3.630E+00	
10	10	6	1	2.000E-03	2.000E-08	4.800E-09	4.000E-10	3.629E+00	2.918E+02	2.928E+02	9.050E-08	1.193E-07	7.100E-09	2.800E-09	2.000E-10	2.100E-09	3.629E+00	
11	9	6	1	1.000E-03	0.000E+00	8.000E-10	2.400E-09	3.717E+00	2.915E+02	2.927E+02	8.750E-08	1.156E-07	2.600E-09	1.400E-09	4.800E-09	6.700E-09	3.716E+00	
12	8	6	1	1.000E-03	1.000E-08	8.000E-10	6.000E-10	3.681E+00	2.897E+02	2.915E+02	8.620E-08	1.136E-07	3.900E-09	1.900E-09	2.800E-09	5.000E-10	3.683E+00	
13	7	7	1	2.000E-03	2.000E-08	2.000E-09	2.900E-09	3.685E+00	2.901E+02	2.918E+02	8.370E-08	1.113E-07	1.700E-09	1.200E-09	3.100E-09	1.800E-09	3.684E+00	
14	8	7	1	2.000E-03	3.000E-08	3.900E-09	3.300E-09	3.665E+00	2.916E+02	2.926E+02	8.820E-08	1.167E-07	2.500E-09	9.000E-10	1.300E-09	1.200E-09	3.665E+00	
15	9	7	1	1.000E-03	0.000E+00	1.000E-09	0.000E+00	3.713E+00	2.917E+02	2.927E+02	9.190E-08	1.196E-07	1.700E-09	1.500E-09	4.900E-09	9.000E-10	3.713E+00	
16	10	7	1	1.000E-03	1.000E-08	2.200E-09	4.000E-10	3.660E+00	2.911E+02	2.922E+02	9.280E-08	1.216E-07	3.900E-09	1.600E-09	2.000E-09	1.000E-10	3.658E+00	
17	11	7	1	1.000E-03	0.000E+00	4.300E-09	2.000E-10	3.635E+00	2.905E+02	2.919E+02	9.260E-08	1.226E-07	2.000E-10	1.800E-09	3.100E-09	8.000E-10	3.635E+00	
18	12	7	1	1.000E-03	7.000E-08	8.000E-10	2.200E-09	3.738E+00	2.907E+02	2.921E+02	9.350E-08	1.226E-07	1.800E-09	4.600E-09	2.700E-09	4.900E-09	3.739E+00	
19	13	7	1	1.000E-03	2.000E-08	2.200E-09	5.000E-10	3.615E+00	2.912E+02	2.926E+02	9.310E-08	1.227E-07	3.000E-10	3.600E-09	1.400E-09	2.900E-09	3.615E+00	
20	14	7	1	2.000E-03	0.000E+00	6.000E-10	6.000E-09	3.599E+00	2.919E+02	2.930E+02	9.230E-08	1.204E-07	4.200E-09	3.900E-09	2.100E-09	2.300E-09	3.598E+00	
21	15	7	1	1.000E-03	2.000E-08	1.000E-10	2.200E-09	3.792E+00	2.923E+02	2.933E+02	9.010E-08	1.170E-07	3.700E-09	4.200E-09	1.900E-09	3.100E-09	3.792E+00	
22	16	8	1	1.000E-03	0.000E+00	5.800E-09	3.600E-09	3.701E+00	2.922E+02	2.933E+02	8.960E-08	1.168E-07	6.100E-09	3.800E-09	1.800E-09	2.500E-09	3.701E+00	
23	15	8	1	1.000E-03	0.000E+00	6.000E-10	1.600E-09	3.660E+00	2.917E+02	2.930E+02	9.460E-08	1.233E-07	3.900E-09	2.400E-09	1.300E-09	2.000E-10	3.660E+00	
24	14	8	1	1.000E-03	1.000E-08	7.000E-10	1.200E-09	3.587E+00	2.903E+02	2.919E+02	9.550E-08	1.270E-07	2.800E-09	4.000E-10	3.600E-09	8.000E-10	3.588E+00	
25	13	8	1	2.000E-03	2.000E-08	8.000E-10	1.500E-09	3.573E+00	2.898E+02	2.910E+02	9.500E-08	1.258E-07	7.000E-09	2.000E-10	1.400E-09	3.300E-09	3.574E+00	
26	12	8	1	2.000E-03	0.000E+00	1.800E-09	1.000E-10	3.625E+00	2.896E+02	2.907E+02	9.570E-08	1.275E-07	4.200E-09	1.500E-09	3.200E-09	3.600E-09	3.626E+00	
27	11	8	1	1.000E-03	1.000E-08	9.000E-10	2.500E-09	3.618E+00	2.896E+02	2.907E+02	9.480E-08	1.261E-07	2.400E-09	4.000E-10	1.500E-09	7.000E-10	3.618E+00	
