Program name	ME58P82_G0A89BA.jtf
Lot number	FA55-4429-325A-250502@203
Wafer number	1
Date	2025/05/02
Time	15:48:36

No.U	X	Y	Bin	CONT	IGSS0	IGSS10	ISGS10	VTH0.25	BVDSS0.25	BVDSS10	IDSS240	IDSS250	IGSS16	ISGS16	IGSS18	ISGS18	VTH0.25_2
LimitU				0.500V	99.00uA	100.0nA	100.0nA	4.500V	300.0V	300.0V	800.0nA	800.0nA	200.0nA	200.0nA	200.0nA	200.0nA	4.500V	
LimitL				0V	0A	0A	0A	2.500V	250.0V	250.0V	0A	0A	0A	0A	0A	0A	2.500V	
Bias 1				1.00mA	1.00V	10.0V	10.0V	250uA	250uA	10.0mA	240V	250V	16.0V	16.0V	18.0V	18.0V	250uA
Bias 2				
Bias 3									350V	350V
Bias 4				2.50ms	10.0ms	40.0ms	40.0ms	2.00ms	20.0ms	10.0ms	20.0ms	20.0ms	40.0ms	40.0ms	40.0ms	40.0ms	2.00ms	
Bias 5				
Bias 6				
1	9	5	1	1.000E-03	2.000E-08	5.900E-09	9.000E-10	3.738E+00	2.899E+02	2.918E+02	7.860E-08	1.044E-07	1.400E-09	2.300E-09	4.000E-09	2.000E-10	3.739E+00	
2	10	5	1	0.000E+00	0.000E+00	6.000E-10	1.700E-09	3.599E+00	2.915E+02	2.929E+02	8.160E-08	1.069E-07	7.100E-09	3.000E-10	4.200E-09	2.200E-09	3.599E+00	
3	11	5	1	1.000E-03	0.000E+00	4.700E-09	2.000E-09	3.531E+00	2.925E+02	2.936E+02	8.350E-08	1.095E-07	1.800E-09	7.000E-10	1.600E-09	2.000E-10	3.532E+00	
4	12	5	1	0.000E+00	0.000E+00	3.100E-09	2.000E-09	3.609E+00	2.927E+02	2.938E+02	8.320E-08	1.081E-07	2.000E-10	2.000E-09	2.100E-09	2.500E-09	3.609E+00	
5	13	5	1	1.000E-03	0.000E+00	1.700E-09	1.100E-09	3.597E+00	2.926E+02	2.937E+02	8.190E-08	1.079E-07	1.700E-09	3.800E-09	3.600E-09	1.900E-09	3.598E+00	
6	14	6	1	1.000E-03	4.000E-08	7.000E-10	3.600E-09	3.554E+00	2.927E+02	2.938E+02	8.410E-08	1.097E-07	2.700E-09	3.200E-09	1.700E-09	4.900E-09	3.553E+00	
7	13	6	1	1.000E-03	6.000E-08	1.000E-10	1.000E-10	3.499E+00	2.923E+02	2.936E+02	8.880E-08	1.162E-07	5.900E-09	1.900E-09	8.000E-10	3.100E-09	3.498E+00	
8	12	6	1	0.000E+00	0.000E+00	5.000E-10	5.200E-09	3.632E+00	2.921E+02	2.935E+02	8.930E-08	1.157E-07	3.900E-09	0.000E+00	4.000E-10	1.100E-09	3.632E+00	
9	11	6	1	1.000E-03	0.000E+00	7.000E-10	2.300E-09	3.520E+00	2.919E+02	2.931E+02	8.980E-08	1.178E-07	4.800E-09	9.000E-10	2.700E-09	3.600E-09	3.520E+00	
10	10	6	1	1.000E-03	1.000E-08	5.000E-10	3.500E-09	3.533E+00	2.918E+02	2.929E+02	8.970E-08	1.165E-07	4.000E-09	2.000E-09	5.000E-10	2.000E-10	3.532E+00	
11	9	6	3	0.000E+00	99.99													
12	8	6	1	0.000E+00	0.000E+00	5.000E-09	4.400E-09	3.581E+00	2.904E+02	2.920E+02	8.020E-08	1.071E-07	2.800E-09	1.700E-09	1.100E-09	4.600E-09	3.582E+00	
13	7	7	1	1.000E-03	0.000E+00	1.200E-09	1.200E-09	3.590E+00	2.909E+02	2.926E+02	7.850E-08	1.028E-07	3.900E-09	1.200E-09	5.000E-10	8.000E-10	3.590E+00	
14	8	7	1	0.000E+00	2.000E-08	5.000E-10	2.100E-09	3.588E+00	2.919E+02	2.929E+02	8.510E-08	1.123E-07	2.700E-09	1.500E-09	2.900E-09	0.000E+00	3.588E+00	
15	9	7	1	1.000E-03	0.000E+00	2.100E-09	3.000E-09	3.592E+00	2.914E+02	2.926E+02	9.190E-08	1.187E-07	3.200E-09	8.000E-10	7.000E-10	1.500E-09	3.592E+00	
16	10	7	1	1.000E-03	3.000E-08	6.000E-10	1.800E-09	3.556E+00	2.909E+02	2.921E+02	9.360E-08	1.220E-07	3.000E-10	2.800E-09	1.700E-09	0.000E+00	3.555E+00	
17	11	7	1	1.000E-03	0.000E+00	1.000E-09	2.200E-09	3.568E+00	2.905E+02	2.919E+02	9.330E-08	1.230E-07	3.000E-10	4.500E-09	2.200E-09	5.000E-10	3.567E+00	
18	12	7	1	1.000E-03	0.000E+00	1.600E-09	7.000E-10	3.657E+00	2.907E+02	2.921E+02	9.380E-08	1.236E-07	2.200E-09	2.400E-09	2.000E-09	1.100E-09	3.656E+00	
19	13	7	1	0.000E+00	0.000E+00	1.100E-09	2.500E-09	3.527E+00	2.910E+02	2.925E+02	9.310E-08	1.223E-07	4.100E-09	3.200E-09	3.100E-09	6.000E-10	3.527E+00	
20	14	7	1	1.000E-03	5.000E-08	2.000E-10	8.000E-10	3.508E+00	2.918E+02	2.930E+02	9.040E-08	1.185E-07	2.900E-09	4.000E-10	4.100E-09	5.000E-10	3.507E+00	
21	15	7	1	0.000E+00	3.000E-08	1.300E-09	4.700E-09	3.670E+00	2.924E+02	2.935E+02	8.450E-08	1.103E-07	5.200E-09	5.100E-09	8.000E-10	2.800E-09	3.670E+00	
22	16	8	1	0.000E+00	3.000E-08	1.500E-09	4.200E-09	3.603E+00	2.923E+02	2.934E+02	8.440E-08	1.100E-07	2.500E-09	3.200E-09	2.000E-09	1.400E-09	3.602E+00	
23	15	8	1	0.000E+00	2.000E-08	2.000E-09	2.000E-09	3.537E+00	2.915E+02	2.929E+02	9.160E-08	1.183E-07	6.000E-09	2.700E-09	1.800E-09	3.300E-09	3.537E+00	
24	14	8	1	0.000E+00	0.000E+00	4.700E-09	1.400E-09	3.515E+00	2.902E+02	2.917E+02	9.450E-08	1.229E-07	4.000E-09	4.300E-09	1.200E-09	3.000E-10	3.516E+00	
25	13	8	1	0.000E+00	2.000E-08	4.800E-09	3.200E-09	3.517E+00	2.896E+02	2.909E+02	9.480E-08	1.262E-07	3.000E-10	7.000E-10	3.000E-09	1.900E-09	3.517E+00	
26	12	8	1	1.000E-03	0.000E+00	2.500E-09	2.200E-09	3.559E+00	2.891E+02	2.904E+02	9.690E-08	1.271E-07	3.400E-09	1.000E-09	3.400E-09	2.500E-09	3.558E+00	
27	11	8	1	1.000E-03	2.000E-08	1.300E-09	2.400E-09	3.515E+00	2.892E+02	2.904E+02	9.630E-08	1.281E-07	5.000E-09	1.300E-09	3.200E-09	9.000E-10	3.515E+00	
28	10	8	1	1.000E-03	1.000E-08	2.400E-09	2.200E-09	3.492E+00	2.897E+02	2.908E+02	9.460E-08	1.271E-07	8.000E-10	2.000E-10	1.400E-09	2.400E-09	3.492E+00	
