Program name	ME58P82_G0A89BA.jtf
Lot number	FA55-5136-323A-250509@203
Wafer number	20
Date	2025/05/09
Time	19:46:57

No.U	X	Y	Bin	CONT	IGSS0	IGSS10	ISGS10	VTH0.25	BVDSS0.25	BVDSS10	IDSS240	IDSS250	IGSS16	ISGS16	IGSS18	ISGS18	VTH0.25_2
LimitU				0.500V	99.00uA	100.0nA	100.0nA	4.500V	300.0V	300.0V	800.0nA	800.0nA	200.0nA	200.0nA	200.0nA	200.0nA	4.500V	
LimitL				0V	0A	0A	0A	2.500V	250.0V	250.0V	0A	0A	0A	0A	0A	0A	2.500V	
Bias 1				1.00mA	1.00V	10.0V	10.0V	250uA	250uA	10.0mA	240V	250V	16.0V	16.0V	18.0V	18.0V	250uA
Bias 2				
Bias 3									350V	350V
Bias 4				2.50ms	10.0ms	40.0ms	40.0ms	2.00ms	20.0ms	10.0ms	20.0ms	20.0ms	40.0ms	40.0ms	40.0ms	40.0ms	2.00ms	
Bias 5				
Bias 6				
1	9	5	1	0.000E+00	0.000E+00	3.700E-09	1.100E-09	2.851E+00	2.877E+02	2.892E+02	1.597E-07	2.160E-07	1.900E-09	0.000E+00	4.000E-09	9.000E-10	2.851E+00	
2	10	5	1	1.000E-03	1.000E-08	3.000E-09	2.700E-09	2.596E+00	2.827E+02	2.846E+02	1.878E-07	2.574E-07	1.800E-09	1.700E-09	4.600E-09	1.400E-09	2.596E+00	
3	11	5	1	1.000E-03	0.000E+00	3.500E-09	2.600E-09	2.521E+00	2.816E+02	2.835E+02	1.925E-07	2.652E-07	5.000E-10	1.200E-09	4.500E-09	1.000E-10	2.520E+00	
4	12	5	1	0.000E+00	0.000E+00	1.000E-10	3.000E-10	2.535E+00	2.820E+02	2.842E+02	1.899E-07	2.578E-07	3.900E-09	3.600E-09	2.000E-09	4.600E-09	2.533E+00	
5	13	5	1	1.000E-03	6.000E-08	4.000E-10	1.600E-09	2.503E+00	2.825E+02	2.845E+02	1.888E-07	2.556E-07	3.800E-09	5.400E-09	1.100E-09	1.900E-09	2.503E+00	
6	14	6	6	1.000E-03	0.000E+00	1.600E-09	1.900E-09	2.423E+00	2.802E+02	2.821E+02	2.014E-07	2.750E-07	1.200E-09	5.400E-09	4.000E-10	2.700E-09	2.422E+00	
7	13	6	6	1.000E-03	0.000E+00	1.900E-09	2.300E-09	2.443E+00	2.794E+02	2.814E+02	2.020E-07	2.786E-07	2.900E-09	3.200E-09	1.000E-09	2.100E-09	2.442E+00	
8	12	6	1	0.000E+00	0.000E+00	6.000E-10	5.900E-09	2.540E+00	2.807E+02	2.828E+02	1.884E-07	2.629E-07	7.600E-09	4.400E-09	5.100E-09	1.700E-09	2.540E+00	
9	11	6	1	0.000E+00	0.000E+00	1.100E-09	5.100E-09	2.602E+00	2.816E+02	2.834E+02	1.846E-07	2.560E-07	2.100E-09	2.500E-09	4.100E-09	5.900E-09	2.603E+00	
10	10	6	1	0.000E+00	0.000E+00	5.000E-10	2.200E-09	2.703E+00	2.834E+02	2.851E+02	1.763E-07	2.421E-07	3.700E-09	1.900E-09	1.000E-10	2.400E-09	2.703E+00	
11	9	6	1	1.000E-03	0.000E+00	1.000E-09	4.000E-10	2.853E+00	2.871E+02	2.884E+02	1.574E-07	2.139E-07	1.800E-09	3.000E-10	3.900E-09	3.000E-10	2.853E+00	
12	8	6	1	0.000E+00	0.000E+00	1.300E-09	1.300E-09	2.899E+00	2.885E+02	2.896E+02	1.443E-07	1.936E-07	4.300E-09	1.500E-09	0.000E+00	2.300E-09	2.899E+00	
13	7	7	1	0.000E+00	1.000E-08	2.000E-09	1.300E-09	3.042E+00	2.876E+02	2.888E+02	1.299E-07	1.759E-07	4.600E-09	7.500E-09	3.300E-09	1.100E-09	3.042E+00	
14	8	7	1	0.000E+00	1.000E-08	5.000E-09	4.400E-09	3.176E+00	2.872E+02	2.885E+02	1.173E-07	1.594E-07	4.100E-09	6.000E-10	4.900E-09	7.100E-09	3.177E+00	
15	9	7	1	0.000E+00	1.000E-08	3.900E-09	4.000E-10	3.213E+00	2.871E+02	2.883E+02	1.181E-07	1.627E-07	4.400E-09	2.300E-09	1.000E-09	1.500E-09	3.214E+00	
16	10	7	1	0.000E+00	0.000E+00	1.800E-09	1.600E-09	3.028E+00	2.873E+02	2.884E+02	1.353E-07	1.848E-07	2.300E-09	1.800E-09	3.800E-09	1.200E-09	3.027E+00	
17	11	7	1	0.000E+00	0.000E+00	2.700E-09	0.000E+00	2.850E+00	2.860E+02	2.876E+02	1.530E-07	2.091E-07	0.000E+00	1.000E-09	5.600E-09	1.400E-09	2.849E+00	
18	12	7	1	0.000E+00	3.000E-08	4.000E-10	1.300E-09	2.751E+00	2.846E+02	2.861E+02	1.643E-07	2.226E-07	2.500E-09	3.000E-09	2.000E-10	3.900E-09	2.752E+00	
19	13	7	1	1.000E-03	0.000E+00	5.100E-09	6.000E-10	2.542E+00	2.807E+02	2.828E+02	1.871E-07	2.594E-07	1.200E-09	2.500E-09	2.300E-09	2.000E-09	2.542E+00	
20	14	7	6	1.000E-03	1.000E-08	3.000E-10	0.000E+00	2.449E+00	2.790E+02	2.810E+02	2.024E-07	2.791E-07	1.000E-09	5.000E-09	2.000E-09	4.300E-09	2.449E+00	
21	15	7	6	0.000E+00	1.000E-08	1.800E-09	5.400E-09	2.493E+00	2.799E+02	2.824E+02	1.947E-07	2.680E-07	3.000E-09	8.500E-09	8.000E-10	2.800E-09	2.493E+00	
22	16	8	6	1.000E-03	1.000E-08	0.000E+00	4.000E-10	2.472E+00	2.797E+02	2.820E+02	1.962E-07	2.728E-07	6.000E-10	1.900E-09	4.100E-09	2.000E-09	2.472E+00	
23	15	8	6	1.000E-03	0.000E+00	1.300E-09	1.200E-09	2.494E+00	2.791E+02	2.811E+02	1.970E-07	2.760E-07	2.400E-09	1.000E-09	3.600E-09	2.400E-09	2.493E+00	
24	14	8	1	0.000E+00	3.000E-08	5.500E-09	2.400E-09	2.580E+00	2.808E+02	2.828E+02	1.835E-07	2.548E-07	2.100E-09	7.000E-10	6.100E-09	3.100E-09	2.579E+00	
25	13	8	1	0.000E+00	0.000E+00	2.500E-09	5.300E-09	2.721E+00	2.840E+02	2.858E+02	1.614E-07	2.223E-07	8.900E-09	4.000E-10	6.000E-09	5.900E-09	2.722E+00	
26	12	8	1	0.000E+00	0.000E+00	1.000E-10	1.700E-09	2.939E+00	2.877E+02	2.885E+02	1.376E-07	1.846E-07	3.700E-09	4.000E-09	1.700E-09	2.000E-10	2.940E+00	
27	11	8	1	0.000E+00	0.000E+00	2.000E-10	3.700E-09	3.182E+00	2.874E+02	2.885E+02	1.160E-07	1.541E-07	4.200E-09	3.600E-09	1.600E-09	2.600E-09	3.182E+00	
