Program name	ME58P82_G0A89BA.jtf
Lot number	FA55-5136-323A-250509@203
Wafer number	11
Date	2025/05/09
Time	18:03:59

No.U	X	Y	Bin	CONT	IGSS0	IGSS10	ISGS10	VTH0.25	BVDSS0.25	BVDSS10	IDSS240	IDSS250	IGSS16	ISGS16	IGSS18	ISGS18	VTH0.25_2
LimitU				0.500V	99.00uA	100.0nA	100.0nA	4.500V	300.0V	300.0V	800.0nA	800.0nA	200.0nA	200.0nA	200.0nA	200.0nA	4.500V	
LimitL				0V	0A	0A	0A	2.500V	250.0V	250.0V	0A	0A	0A	0A	0A	0A	2.500V	
Bias 1				1.00mA	1.00V	10.0V	10.0V	250uA	250uA	10.0mA	240V	250V	16.0V	16.0V	18.0V	18.0V	250uA
Bias 2				
Bias 3									350V	350V
Bias 4				2.50ms	10.0ms	40.0ms	40.0ms	2.00ms	20.0ms	10.0ms	20.0ms	20.0ms	40.0ms	40.0ms	40.0ms	40.0ms	2.00ms	
Bias 5				
Bias 6				
1	9	5	1	0.000E+00	1.000E-08	8.000E-10	2.100E-09	3.479E+00	2.875E+02	2.888E+02	9.470E-08	1.260E-07	3.900E-09	3.700E-09	2.800E-09	3.300E-09	3.479E+00	
2	10	5	1	0.000E+00	1.000E-08	3.300E-09	1.600E-09	3.156E+00	2.886E+02	2.898E+02	1.044E-07	1.423E-07	2.800E-09	2.100E-09	2.700E-09	1.500E-09	3.155E+00	
3	11	5	1	1.000E-03	1.000E-08	3.900E-09	1.400E-09	2.961E+00	2.888E+02	2.901E+02	1.176E-07	1.594E-07	1.400E-09	1.800E-09	1.800E-09	2.500E-09	2.961E+00	
4	12	5	1	1.000E-03	2.000E-08	8.000E-10	4.700E-09	2.825E+00	2.892E+02	2.903E+02	1.316E-07	1.760E-07	2.000E-09	1.800E-09	2.000E-10	1.600E-09	2.824E+00	
5	13	5	1	0.000E+00	0.000E+00	4.000E-10	5.600E-09	2.667E+00	2.882E+02	2.897E+02	1.426E-07	1.942E-07	7.000E-09	1.700E-09	3.100E-09	6.600E-09	2.668E+00	
6	14	6	1	0.000E+00	2.000E-08	4.000E-10	2.600E-09	2.608E+00	2.860E+02	2.875E+02	1.535E-07	2.057E-07	5.000E-10	3.200E-09	4.000E-10	3.300E-09	2.607E+00	
7	13	6	1	0.000E+00	0.000E+00	3.300E-09	4.400E-09	2.753E+00	2.877E+02	2.892E+02	1.376E-07	1.873E-07	1.800E-09	1.700E-09	5.300E-09	4.600E-09	2.752E+00	
8	12	6	1	0.000E+00	1.000E-08	4.000E-10	1.800E-09	3.023E+00	2.883E+02	2.894E+02	1.161E-07	1.549E-07	1.500E-09	7.000E-10	8.000E-10	4.000E-10	3.023E+00	
9	11	6	1	0.000E+00	1.000E-08	2.100E-09	6.500E-09	3.303E+00	2.880E+02	2.888E+02	9.460E-08	1.297E-07	1.000E-10	1.700E-09	4.900E-09	3.800E-09	3.303E+00	
10	10	6	1	0.000E+00	0.000E+00	3.200E-09	3.900E-09	3.466E+00	2.876E+02	2.884E+02	8.690E-08	1.188E-07	1.000E-09	1.500E-09	5.400E-09	5.300E-09	3.465E+00	
11	9	6	1	0.000E+00	1.000E-08	4.000E-10	3.000E-10	3.503E+00	2.879E+02	2.888E+02	8.570E-08	1.140E-07	2.000E-09	1.000E-10	1.800E-09	3.000E-10	3.502E+00	
12	8	6	1	0.000E+00	0.000E+00	1.800E-09	0.000E+00	3.308E+00	2.874E+02	2.888E+02	9.250E-08	1.277E-07	5.100E-09	2.800E-09	1.300E-09	2.000E-10	3.310E+00	
13	7	7	1	1.000E-03	0.000E+00	5.000E-10	3.800E-09	3.339E+00	2.882E+02	2.894E+02	9.200E-08	1.219E-07	4.300E-09	2.700E-09	7.000E-10	8.000E-10	3.339E+00	
14	8	7	1	0.000E+00	0.000E+00	0.000E+00	3.600E-09	3.623E+00	2.882E+02	2.888E+02	8.160E-08	1.082E-07	4.700E-09	4.100E-09	1.300E-09	6.000E-09	3.623E+00	
15	9	7	1	0.000E+00	1.000E-08	2.400E-09	3.200E-09	3.664E+00	2.876E+02	2.882E+02	8.170E-08	1.119E-07	2.200E-09	7.000E-10	3.000E-09	5.000E-10	3.665E+00	
16	10	7	1	0.000E+00	2.000E-08	3.200E-09	9.000E-10	3.622E+00	2.873E+02	2.878E+02	8.330E-08	1.144E-07	7.000E-10	3.000E-10	1.000E-09	1.400E-09	3.622E+00	
17	11	7	1	0.000E+00	0.000E+00	1.800E-09	1.100E-09	3.599E+00	2.874E+02	2.880E+02	8.350E-08	1.121E-07	2.900E-09	1.000E-09	1.000E-09	2.400E-09	3.599E+00	
18	12	7	1	0.000E+00	1.000E-08	2.300E-09	2.600E-09	3.433E+00	2.879E+02	2.888E+02	9.110E-08	1.220E-07	5.500E-09	3.200E-09	2.800E-09	3.600E-09	3.432E+00	
19	13	7	1	0.000E+00	0.000E+00	1.400E-09	6.200E-09	3.006E+00	2.884E+02	2.894E+02	1.168E-07	1.597E-07	7.700E-09	3.300E-09	2.300E-09	6.800E-09	3.005E+00	
20	14	7	1	0.000E+00	1.000E-08	0.000E+00	9.100E-09	2.712E+00	2.862E+02	2.878E+02	1.441E-07	1.959E-07	2.800E-09	4.000E-10	4.400E-09	3.500E-09	2.712E+00	
21	15	7	1	0.000E+00	1.000E-08	1.000E-10	6.000E-09	2.654E+00	2.854E+02	2.873E+02	1.517E-07	2.057E-07	1.000E-09	9.300E-09	2.900E-09	3.000E-09	2.653E+00	
22	16	8	1	0.000E+00	0.000E+00	3.800E-09	1.000E-09	2.575E+00	2.845E+02	2.864E+02	1.577E-07	2.149E-07	3.800E-09	1.300E-09	2.500E-09	0.000E+00	2.575E+00	
23	15	8	1	0.000E+00	1.000E-08	1.500E-09	1.200E-09	2.685E+00	2.855E+02	2.871E+02	1.470E-07	2.011E-07	5.100E-09	4.900E-09	1.600E-09	6.300E-09	2.685E+00	
24	14	8	1	0.000E+00	3.000E-08	0.000E+00	8.000E-10	2.900E+00	2.881E+02	2.892E+02	1.253E-07	1.711E-07	4.900E-09	4.600E-09	4.000E-09	2.800E-09	2.901E+00	
25	13	8	1	1.000E-03	2.000E-08	4.000E-09	1.500E-09	3.268E+00	2.881E+02	2.890E+02	9.670E-08	1.316E-07	6.000E-10	8.000E-10	5.000E-10	1.400E-09	3.269E+00	
26	12	8	1	0.000E+00	1.000E-08	3.800E-09	2.500E-09	3.566E+00	2.878E+02	2.884E+02	8.320E-08	1.138E-07	3.400E-09	7.000E-10	3.900E-09	9.000E-10	3.567E+00	
27	11	8	1	0.000E+00	2.000E-08	1.100E-09	4.100E-09	3.576E+00	2.875E+02	2.880E+02	8.460E-08	1.135E-07	4.900E-09	2.700E-09	3.400E-09	5.400E-09	3.577E+00	
