Program name	ME58P82_G0A89BA.jtf
Lot number	FA55-5136-323A-250509@203
Wafer number	16
Date	2025/05/09
Time	19:12:06

No.U	X	Y	Bin	CONT	IGSS0	IGSS10	ISGS10	VTH0.25	BVDSS0.25	BVDSS10	IDSS240	IDSS250	IGSS16	ISGS16	IGSS18	ISGS18	VTH0.25_2
LimitU				0.500V	99.00uA	100.0nA	100.0nA	4.500V	300.0V	300.0V	800.0nA	800.0nA	200.0nA	200.0nA	200.0nA	200.0nA	4.500V	
LimitL				0V	0A	0A	0A	2.500V	250.0V	250.0V	0A	0A	0A	0A	0A	0A	2.500V	
Bias 1				1.00mA	1.00V	10.0V	10.0V	250uA	250uA	10.0mA	240V	250V	16.0V	16.0V	18.0V	18.0V	250uA
Bias 2				
Bias 3									350V	350V
Bias 4				2.50ms	10.0ms	40.0ms	40.0ms	2.00ms	20.0ms	10.0ms	20.0ms	20.0ms	40.0ms	40.0ms	40.0ms	40.0ms	2.00ms	
Bias 5				
Bias 6				
1	9	5	1	0.000E+00	0.000E+00	0.000E+00	2.000E-09	3.756E+00	2.867E+02	2.879E+02	8.590E-08	1.154E-07	1.900E-09	3.700E-09	1.400E-09	2.900E-09	3.756E+00	
2	10	5	1	0.000E+00	0.000E+00	1.300E-09	3.900E-09	3.475E+00	2.876E+02	2.885E+02	9.180E-08	1.250E-07	7.900E-09	4.300E-09	3.600E-09	2.300E-09	3.476E+00	
3	11	5	1	1.000E-03	0.000E+00	3.000E-10	2.800E-09	3.360E+00	2.873E+02	2.887E+02	9.720E-08	1.314E-07	5.500E-09	7.400E-09	1.500E-09	1.800E-09	3.361E+00	
4	12	5	1	0.000E+00	0.000E+00	2.600E-09	1.500E-09	3.287E+00	2.878E+02	2.892E+02	1.032E-07	1.400E-07	6.000E-10	1.000E-09	4.400E-09	1.800E-09	3.287E+00	
5	13	5	1	1.000E-03	1.000E-08	5.800E-09	1.800E-09	3.057E+00	2.886E+02	2.902E+02	1.198E-07	1.609E-07	1.500E-09	3.100E-09	2.200E-09	1.700E-09	3.056E+00	
6	14	6	1	0.000E+00	1.000E-08	2.000E-09	6.600E-09	3.250E+00	2.885E+02	2.900E+02	9.890E-08	1.340E-07	6.800E-09	1.300E-09	2.300E-09	7.500E-09	3.250E+00	
7	13	6	1	0.000E+00	0.000E+00	3.100E-09	5.800E-09	3.467E+00	2.877E+02	2.889E+02	8.760E-08	1.187E-07	7.000E-10	1.000E-10	5.800E-09	4.000E-09	3.468E+00	
8	12	6	1	0.000E+00	1.000E-08	2.200E-09	2.400E-09	3.597E+00	2.868E+02	2.880E+02	8.480E-08	1.136E-07	4.700E-09	4.000E-09	1.100E-09	1.500E-09	3.597E+00	
9	11	6	1	0.000E+00	0.000E+00	0.000E+00	2.000E-09	3.633E+00	2.864E+02	2.876E+02	8.570E-08	1.160E-07	3.700E-09	5.600E-09	3.600E-09	4.600E-09	3.632E+00	
10	10	6	1	0.000E+00	3.000E-08	3.400E-09	9.000E-10	3.637E+00	2.869E+02	2.880E+02	8.580E-08	1.170E-07	1.800E-09	2.200E-09	7.000E-10	6.000E-10	3.638E+00	
11	9	6	1	0.000E+00	3.000E-08	3.200E-09	7.000E-10	3.667E+00	2.877E+02	2.886E+02	8.440E-08	1.143E-07	1.400E-09	5.000E-10	1.700E-09	6.000E-10	3.666E+00	
12	8	6	1	0.000E+00	0.000E+00	9.000E-10	5.400E-09	3.625E+00	2.878E+02	2.889E+02	8.340E-08	1.110E-07	3.300E-09	9.700E-09	1.000E-09	2.200E-09	3.626E+00	
13	7	7	1	0.000E+00	0.000E+00	1.300E-09	1.500E-09	3.472E+00	2.887E+02	2.898E+02	8.870E-08	1.200E-07	1.500E-09	8.000E-10	2.900E-09	1.000E-10	3.472E+00	
14	8	7	1	0.000E+00	2.000E-08	7.000E-10	2.000E-09	3.645E+00	2.874E+02	2.884E+02	8.570E-08	1.130E-07	4.900E-09	3.000E-09	3.900E-09	5.300E-09	3.646E+00	
15	9	7	1	0.000E+00	0.000E+00	1.000E-09	7.200E-09	3.638E+00	2.870E+02	2.880E+02	8.780E-08	1.177E-07	4.800E-09	6.800E-09	1.800E-09	6.200E-09	3.637E+00	
16	10	7	1	0.000E+00	2.000E-08	2.500E-09	2.600E-09	3.618E+00	2.868E+02	2.879E+02	8.780E-08	1.200E-07	4.000E-10	1.800E-09	6.000E-10	3.900E-09	3.618E+00	
17	11	7	1	0.000E+00	2.000E-08	1.000E-09	3.300E-09	3.616E+00	2.863E+02	2.873E+02	8.690E-08	1.172E-07	4.200E-09	5.900E-09	2.000E-09	3.400E-09	3.616E+00	
18	12	7	1	0.000E+00	1.000E-08	1.400E-09	4.600E-09	3.612E+00	2.865E+02	2.877E+02	8.410E-08	1.167E-07	5.500E-09	2.100E-09	1.100E-09	9.100E-09	3.612E+00	
19	13	7	1	0.000E+00	1.000E-08	1.600E-09	4.800E-09	3.579E+00	2.873E+02	2.885E+02	8.350E-08	1.135E-07	5.000E-10	1.000E-09	5.400E-09	5.200E-09	3.579E+00	
20	14	7	1	0.000E+00	0.000E+00	1.000E-09	3.200E-09	3.563E+00	2.879E+02	2.890E+02	8.410E-08	1.112E-07	6.200E-09	1.400E-09	2.300E-09	3.300E-09	3.563E+00	
21	15	7	1	0.000E+00	1.000E-08	1.800E-09	1.800E-09	3.572E+00	2.884E+02	2.898E+02	8.360E-08	1.108E-07	2.300E-09	6.700E-09	2.000E-10	4.400E-09	3.571E+00	
22	16	8	1	0.000E+00	1.000E-08	1.000E-10	3.200E-09	3.625E+00	2.884E+02	2.899E+02	7.900E-08	1.058E-07	3.000E-10	1.200E-09	3.700E-09	1.700E-09	3.625E+00	
23	15	8	1	0.000E+00	2.000E-08	3.800E-09	1.500E-09	3.575E+00	2.879E+02	2.891E+02	8.260E-08	1.121E-07	2.800E-09	2.400E-09	3.200E-09	2.000E-10	3.574E+00	
24	14	8	1	0.000E+00	0.000E+00	9.000E-10	5.000E-09	3.546E+00	2.876E+02	2.886E+02	8.380E-08	1.142E-07	2.100E-09	1.000E-09	3.200E-09	6.800E-09	3.546E+00	
25	13	8	1	0.000E+00	0.000E+00	3.500E-09	6.500E-09	3.513E+00	2.871E+02	2.884E+02	8.560E-08	1.167E-07	5.300E-09	5.200E-09	6.100E-09	6.000E-09	3.512E+00	
26	12	8	1	0.000E+00	2.000E-08	7.000E-10	6.000E-10	3.540E+00	2.866E+02	2.879E+02	8.920E-08	1.188E-07	2.000E-10	1.800E-09	6.000E-10	5.700E-09	3.539E+00	
27	11	8	1	0.000E+00	1.000E-08	7.000E-10	5.500E-09	3.553E+00	2.863E+02	2.875E+02	8.700E-08	1.195E-07	9.600E-09	1.000E-09	3.000E-09	7.500E-09	3.553E+00	
