Lot_ID,Wafer_ID,Yield,Total,Pass,Bin3,Bin4,Bin6,Bin7,Bin8,Bin9
FA54-5339-327A-250501@203,1,99.30%,142,141,1,0,0,0,0,0
FA54-5339-327A-250501@203,2,97.18%,142,138,2,1,0,1,0,0
FA54-5339-327A-250501@203,3,98.59%,142,140,0,1,0,0,0,1
FA54-5339-327A-250501@203,4,100.00%,142,142,0,0,0,0,0,0
FA54-5339-327A-250501@203,5,98.59%,142,140,1,0,0,0,0,0
FA54-5339-327A-250501@203,6,97.89%,142,139,2,0,0,0,0,1
FA54-5339-327A-250501@203,7,100.00%,142,142,0,0,0,0,0,0
FA54-5339-327A-250501@203,8,98.59%,142,140,2,0,0,0,0,0
FA54-5339-327A-250501@203,9,98.59%,142,140,2,0,0,0,0,0
FA54-5339-327A-250501@203,10,99.30%,142,141,0,1,0,0,0,0
FA54-5339-327A-250501@203,11,97.18%,142,138,3,1,0,0,0,0
FA54-5339-327A-250501@203,12,97.89%,142,139,3,0,0,0,0,0
FA54-5339-327A-250501@203,13,100.00%,142,142,0,0,0,0,0,0
FA54-5339-327A-250501@203,14,97.18%,142,138,4,0,0,0,0,0
FA54-5339-327A-250501@203,15,98.59%,142,140,2,0,0,0,0,0
FA54-5339-327A-250501@203,16,98.59%,142,140,2,0,0,0,0,0
FA54-5339-327A-250501@203,17,99.30%,142,141,0,1,0,0,0,0
FA54-5339-327A-250501@203,18,100.00%,142,142,0,0,0,0,0,0
FA54-5339-327A-250501@203,19,100.00%,142,142,0,0,0,0,0,0
FA54-5339-327A-250501@203,20,99.30%,142,141,0,0,1,0,0,0
FA54-5339-327A-250501@203,21,100.00%,142,142,0,0,0,0,0,0
FA54-5339-327A-250501@203,22,98.59%,142,140,1,0,0,0,0,0
FA54-5339-327A-250501@203,23,95.77%,142,136,1,1,2,1,0,0
FA54-5339-327A-250501@203,24,100.00%,142,142,0,0,0,0,0,0
FA54-5339-327A-250501@203,25,100.00%,142,142,0,0,0,0,0,0
FA54-5340-325A-250502@203,1,98.59%,142,140,1,0,0,0,0,0
FA54-5340-325A-250502@203,2,97.89%,142,139,2,1,0,0,0,0
