Program name	ME58P82_G0A89BA.jtf
Lot number	FA55-4434-325A-250502@203
Wafer number	10
Date	2025/05/02
Time	07:47:16

No.U	X	Y	Bin	CONT	IGSS0	IGSS10	ISGS10	VTH0.25	BVDSS0.25	BVDSS10	IDSS240	IDSS250	IGSS16	ISGS16	IGSS18	ISGS18	VTH0.25_2
LimitU				0.500V	99.00uA	100.0nA	100.0nA	4.500V	300.0V	300.0V	800.0nA	800.0nA	200.0nA	200.0nA	200.0nA	200.0nA	4.500V	
LimitL				0V	0A	0A	0A	2.500V	250.0V	250.0V	0A	0A	0A	0A	0A	0A	2.500V	
Bias 1				1.00mA	1.00V	10.0V	10.0V	250uA	250uA	10.0mA	240V	250V	16.0V	16.0V	18.0V	18.0V	250uA
Bias 2				
Bias 3									350V	350V
Bias 4				2.50ms	10.0ms	40.0ms	40.0ms	2.00ms	20.0ms	10.0ms	20.0ms	20.0ms	40.0ms	40.0ms	40.0ms	40.0ms	2.00ms	
Bias 5				
Bias 6				
1	9	5	1	1.000E-03	0.000E+00	0.000E+00	2.800E-09	3.640E+00	2.869E+02	2.893E+02	8.890E-08	1.169E-07	1.900E-09	2.400E-09	3.900E-09	2.000E-10	3.641E+00	
2	10	5	1	1.000E-03	0.000E+00	2.600E-09	2.600E-09	3.517E+00	2.895E+02	2.913E+02	9.050E-08	1.204E-07	1.000E-10	1.100E-09	2.800E-09	4.000E-10	3.516E+00	
3	11	5	1	2.000E-03	2.000E-08	0.000E+00	1.000E-10	3.422E+00	2.907E+02	2.922E+02	9.040E-08	1.203E-07	6.800E-09	2.200E-09	4.000E-10	4.300E-09	3.423E+00	
4	12	5	1	1.000E-03	1.000E-08	1.000E-09	3.800E-09	3.444E+00	2.908E+02	2.923E+02	9.290E-08	1.210E-07	4.200E-09	4.000E-09	1.800E-09	6.400E-09	3.444E+00	
5	13	5	1	1.000E-03	0.000E+00	2.300E-09	3.500E-09	3.400E+00	2.900E+02	2.916E+02	9.250E-08	1.218E-07	3.700E-09	4.000E-10	2.100E-09	2.100E-09	3.402E+00	
6	14	6	1	2.000E-03	0.000E+00	2.300E-09	2.700E-09	3.355E+00	2.911E+02	2.923E+02	9.290E-08	1.216E-07	5.000E-10	1.100E-09	6.000E-10	3.800E-09	3.356E+00	
7	13	6	1	1.000E-03	0.000E+00	3.000E-10	2.700E-09	3.387E+00	2.917E+02	2.929E+02	9.490E-08	1.236E-07	2.300E-09	2.800E-09	4.200E-09	1.600E-09	3.386E+00	
8	12	6	1	0.000E+00	2.000E-08	2.600E-09	1.800E-09	3.424E+00	2.919E+02	2.929E+02	9.510E-08	1.233E-07	3.900E-09	4.700E-09	2.800E-09	2.000E-10	3.424E+00	
9	11	6	1	2.000E-03	3.000E-08	3.200E-09	2.500E-09	3.423E+00	2.917E+02	2.928E+02	9.540E-08	1.253E-07	3.000E-10	2.400E-09	4.100E-09	2.100E-09	3.421E+00	
10	10	6	1	1.000E-03	1.000E-08	2.100E-09	1.200E-09	3.449E+00	2.910E+02	2.923E+02	9.570E-08	1.259E-07	5.500E-09	1.800E-09	9.000E-10	8.000E-10	3.450E+00	
11	9	6	1	1.000E-03	1.000E-08	2.000E-10	3.600E-09	3.483E+00	2.906E+02	2.918E+02	9.260E-08	1.226E-07	2.400E-09	1.700E-09	7.000E-10	5.100E-09	3.484E+00	
12	8	6	1	1.000E-03	3.000E-08	4.800E-09	2.000E-09	3.449E+00	2.879E+02	2.898E+02	9.270E-08	1.221E-07	1.000E-09	3.000E-09	1.300E-09	1.100E-09	3.449E+00	
13	7	7	1	2.000E-03	0.000E+00	1.700E-09	2.300E-09	3.479E+00	2.878E+02	2.902E+02	8.960E-08	1.195E-07	3.500E-09	1.700E-09	7.000E-10	2.100E-09	3.479E+00	
14	8	7	1	1.000E-03	1.000E-08	1.000E-09	2.600E-09	3.428E+00	2.905E+02	2.919E+02	9.350E-08	1.237E-07	5.500E-09	2.400E-09	5.100E-09	2.900E-09	3.428E+00	
15	9	7	1	1.000E-03	1.000E-08	1.000E-09	1.400E-09	3.454E+00	2.913E+02	2.923E+02	9.620E-08	1.248E-07	5.800E-09	2.900E-09	3.000E-09	2.800E-09	3.454E+00	
16	10	7	1	2.000E-03	7.000E-08	2.300E-09	1.000E-09	3.464E+00	2.910E+02	2.922E+02	9.620E-08	1.263E-07	2.100E-09	2.800E-09	1.500E-09	1.600E-09	3.464E+00	
17	11	7	1	1.000E-03	7.000E-08	6.200E-09	1.700E-09	3.474E+00	2.907E+02	2.921E+02	9.490E-08	1.246E-07	8.000E-10	7.000E-10	5.000E-09	4.500E-09	3.474E+00	
18	12	7	1	2.000E-03	1.000E-08	1.000E-10	1.400E-09	3.436E+00	2.909E+02	2.923E+02	9.440E-08	1.245E-07	7.000E-10	1.300E-09	1.200E-09	8.000E-10	3.436E+00	
19	13	7	1	2.000E-03	2.000E-08	6.000E-10	5.200E-09	3.398E+00	2.914E+02	2.926E+02	9.420E-08	1.235E-07	3.900E-09	1.400E-09	5.800E-09	3.900E-09	3.398E+00	
20	14	7	1	1.000E-03	2.000E-08	1.500E-09	1.000E-10	3.377E+00	2.916E+02	2.928E+02	9.490E-08	1.231E-07	3.300E-09	3.700E-09	5.000E-10	2.200E-09	3.375E+00	
21	15	7	1	2.000E-03	2.000E-08	2.100E-09	1.700E-09	3.412E+00	2.911E+02	2.923E+02	9.360E-08	1.233E-07	1.200E-09	5.000E-09	1.200E-09	6.000E-10	3.412E+00	
22	16	8	1	2.000E-03	0.000E+00	2.300E-09	3.200E-09	3.269E+00	2.906E+02	2.918E+02	9.620E-08	1.271E-07	0.000E+00	3.600E-09	3.900E-09	2.100E-09	3.269E+00	
23	15	8	1	2.000E-03	3.000E-08	9.000E-10	3.700E-09	3.357E+00	2.915E+02	2.927E+02	9.550E-08	1.240E-07	4.500E-09	4.800E-09	2.000E-10	3.700E-09	3.357E+00	
24	14	8	1	1.000E-03	1.000E-08	1.800E-09	7.000E-10	3.391E+00	2.906E+02	2.921E+02	9.300E-08	1.232E-07	3.600E-09	1.100E-09	1.100E-09	1.200E-09	3.390E+00	
25	13	8	1	2.000E-03	0.000E+00	8.000E-10	1.800E-09	3.421E+00	2.899E+02	2.912E+02	9.530E-08	1.244E-07	9.000E-10	1.700E-09	1.000E-09	1.100E-09	3.421E+00	
26	12	8	1	2.000E-03	1.000E-08	2.500E-09	2.800E-09	3.489E+00	2.896E+02	2.908E+02	9.510E-08	1.268E-07	1.200E-09	2.600E-09	1.300E-09	3.400E-09	3.488E+00	
27	11	8	1	2.000E-03	1.000E-08	1.500E-09	1.500E-09	3.501E+00	2.896E+02	2.907E+02	9.690E-08	1.264E-07	3.100E-09	3.000E-10	0.000E+00	2.200E-09	3.502E+00	
