Program name	ME58P82_G0A89BA.jtf
Lot number	FA55-4434-325A-250502@203
Wafer number	5
Date	2025/05/02
Time	07:15:04

No.U	X	Y	Bin	CONT	IGSS0	IGSS10	ISGS10	VTH0.25	BVDSS0.25	BVDSS10	IDSS240	IDSS250	IGSS16	ISGS16	IGSS18	ISGS18	VTH0.25_2
LimitU				0.500V	99.00uA	100.0nA	100.0nA	4.500V	300.0V	300.0V	800.0nA	800.0nA	200.0nA	200.0nA	200.0nA	200.0nA	4.500V	
LimitL				0V	0A	0A	0A	2.500V	250.0V	250.0V	0A	0A	0A	0A	0A	0A	2.500V	
Bias 1				1.00mA	1.00V	10.0V	10.0V	250uA	250uA	10.0mA	240V	250V	16.0V	16.0V	18.0V	18.0V	250uA
Bias 2				
Bias 3									350V	350V
Bias 4				2.50ms	10.0ms	40.0ms	40.0ms	2.00ms	20.0ms	10.0ms	20.0ms	20.0ms	40.0ms	40.0ms	40.0ms	40.0ms	2.00ms	
Bias 5				
Bias 6				
1	9	5	1	1.000E-03	2.000E-08	3.800E-09	5.400E-09	3.693E+00	2.889E+02	2.910E+02	9.180E-08	1.218E-07	0.000E+00	4.600E-09	3.600E-09	5.700E-09	3.693E+00	
2	10	5	1	2.000E-03	0.000E+00	2.300E-09	2.000E-09	3.572E+00	2.912E+02	2.927E+02	9.340E-08	1.234E-07	1.000E-10	1.000E-10	2.500E-09	0.000E+00	3.573E+00	
3	11	5	1	1.000E-03	0.000E+00	2.300E-09	3.300E-09	3.521E+00	2.920E+02	2.934E+02	9.350E-08	1.215E-07	4.600E-09	4.300E-09	3.600E-09	1.700E-09	3.521E+00	
4	12	5	1	1.000E-03	1.000E-08	1.500E-09	1.200E-09	3.574E+00	2.923E+02	2.936E+02	9.220E-08	1.217E-07	2.200E-09	8.000E-10	1.700E-09	6.000E-10	3.573E+00	
5	13	5	1	1.000E-03	3.000E-08	9.000E-10	3.000E-09	3.518E+00	2.918E+02	2.932E+02	9.220E-08	1.216E-07	1.700E-09	1.000E-09	1.400E-09	2.300E-09	3.517E+00	
6	14	6	1	2.000E-03	1.000E-08	3.000E-10	2.100E-09	3.502E+00	2.928E+02	2.938E+02	9.500E-08	1.225E-07	5.100E-09	1.400E-09	1.400E-09	3.600E-09	3.502E+00	
7	13	6	1	1.000E-03	0.000E+00	1.000E-10	2.000E-10	3.488E+00	2.928E+02	2.937E+02	9.650E-08	1.266E-07	1.200E-09	2.000E-10	4.200E-09	1.500E-09	3.489E+00	
8	12	6	1	2.000E-03	3.000E-08	2.000E-10	4.800E-09	3.529E+00	2.925E+02	2.936E+02	9.630E-08	1.259E-07	3.500E-09	3.000E-09	2.300E-09	9.000E-10	3.529E+00	
9	11	6	3	2.000E-03	99.99													
10	10	6	1	2.000E-03	1.000E-08	1.300E-09	3.800E-09	3.539E+00	2.921E+02	2.932E+02	9.710E-08	1.273E-07	6.900E-09	5.600E-09	7.000E-10	7.000E-10	3.540E+00	
11	9	6	1	2.000E-03	1.000E-08	1.000E-10	5.000E-10	3.579E+00	2.915E+02	2.929E+02	9.420E-08	1.244E-07	7.000E-10	1.800E-09	1.100E-09	1.500E-09	3.579E+00	
12	8	6	1	2.000E-03	0.000E+00	1.200E-09	0.000E+00	3.524E+00	2.889E+02	2.910E+02	9.220E-08	1.245E-07	4.900E-09	1.600E-09	1.500E-09	1.900E-09	3.523E+00	
13	7	7	1	2.000E-03	0.000E+00	2.100E-09	9.000E-10	3.517E+00	2.895E+02	2.914E+02	9.200E-08	1.232E-07	4.000E-09	2.700E-09	1.300E-09	2.000E-10	3.516E+00	
14	8	7	1	1.000E-03	7.000E-08	3.600E-09	3.400E-09	3.538E+00	2.916E+02	2.928E+02	9.460E-08	1.253E-07	3.000E-09	1.400E-09	1.800E-09	2.100E-09	3.538E+00	
15	9	7	1	2.000E-03	0.000E+00	8.000E-10	1.000E-09	3.559E+00	2.920E+02	2.930E+02	9.780E-08	1.295E-07	0.000E+00	8.000E-10	3.000E-10	1.000E-09	3.558E+00	
16	10	7	1	2.000E-03	0.000E+00	5.000E-10	2.100E-09	3.525E+00	2.915E+02	2.926E+02	1.016E-07	1.320E-07	5.600E-09	2.300E-09	2.600E-09	1.400E-09	3.525E+00	
17	11	7	1	2.000E-03	1.000E-08	1.300E-09	7.000E-10	3.518E+00	2.910E+02	2.924E+02	1.014E-07	1.342E-07	2.700E-09	3.000E-10	3.800E-09	1.000E-09	3.519E+00	
18	12	7	1	1.000E-03	0.000E+00	3.000E-10	7.700E-09	3.510E+00	2.912E+02	2.926E+02	1.000E-07	1.318E-07	1.100E-09	4.600E-09	3.900E-09	3.100E-09	3.508E+00	
19	13	7	1	2.000E-03	0.000E+00	8.000E-10	3.700E-09	3.455E+00	2.916E+02	2.931E+02	1.009E-07	1.334E-07	4.700E-09	6.000E-10	1.400E-09	2.300E-09	3.455E+00	
20	14	7	1	2.000E-03	1.000E-08	1.000E-09	7.000E-10	3.472E+00	2.925E+02	2.937E+02	9.750E-08	1.285E-07	2.800E-09	1.200E-09	2.000E-09	1.800E-09	3.472E+00	
21	15	7	1	2.000E-03	3.000E-08	1.000E-10	3.000E-10	3.550E+00	2.926E+02	2.937E+02	9.400E-08	1.241E-07	1.200E-09	5.000E-10	8.000E-10	1.300E-09	3.550E+00	
22	16	8	1	1.000E-03	1.000E-08	1.200E-09	2.500E-09	3.462E+00	2.923E+02	2.936E+02	9.450E-08	1.251E-07	4.800E-09	2.300E-09	2.700E-09	1.200E-09	3.462E+00	
23	15	8	1	2.000E-03	0.000E+00	2.200E-09	5.600E-09	3.475E+00	2.925E+02	2.937E+02	9.910E-08	1.282E-07	2.700E-09	4.400E-09	9.000E-10	5.200E-09	3.475E+00	
24	14	8	1	2.000E-03	1.000E-08	1.300E-09	3.000E-10	3.452E+00	2.913E+02	2.927E+02	1.011E-07	1.337E-07	1.000E-10	2.900E-09	2.200E-09	1.600E-09	3.452E+00	
25	13	8	1	1.000E-03	0.000E+00	9.000E-10	4.000E-10	3.448E+00	2.903E+02	2.917E+02	1.041E-07	1.369E-07	2.400E-09	3.900E-09	2.600E-09	1.400E-09	3.446E+00	
26	12	8	1	2.000E-03	1.000E-08	1.300E-09	1.100E-09	3.497E+00	2.900E+02	2.912E+02	1.049E-07	1.395E-07	3.600E-09	1.100E-09	2.900E-09	1.100E-09	3.497E+00	
27	11	8	1	1.000E-03	0.000E+00	6.000E-10	1.000E-09	3.528E+00	2.901E+02	2.911E+02	1.044E-07	1.385E-07	2.400E-09	1.500E-09	5.700E-09	5.000E-10	3.528E+00	
28	10	8	1	2.000E-03	4.000E-08	3.300E-09	2.000E-09	3.504E+00	2.904E+02	2.914E+02	1.025E-07	1.360E-07	6.000E-10	3.000E-10	3.000E-09	2.300E-09	3.503E+00	
