Program name	H0206AD_E4_CP1.dll
Lot number	C127251.00-CPTSTE11-241023-003706@CP
Wafer number	03
Date	2024/10/23
Time	00:37:09

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH1	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
LimitU				0.5V	0.5V	0.5V	1uA	5uA	6uA	4.5V	900V	900V	50V	160mohm	1V	80nA	80nA	2uA
LimitL				-0.5V	-0.5V	-0.5V	0uA	0uA	0uA	2.5V	660V	660V	-10V	0mohm	0V	0nA	0nA	0uA
Bias 1				 	 	 	 	 	 	100uA	250uA	1mA	 	1A	 	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	1A	 	 	 
Bias 3				2V	 	 	 	 	650V	 	 	 	 	 	 	 	 	600V
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V	 
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	10000uS	10000uS	8000uS	1000uS	50000uS	5000uS	12000uS	12000uS	10000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	23	6	1	1.24000E-002	1.60000E-003	8.00000E-004	1.88000E-008	5.00000E-010	4.82300E-007	3.49480E+000	7.12881E+002	7.15856E+002	2.97450E+000	1.28937E-001	6.89000E-001	3.13800E-010	2.17800E-010	2.09400E-007
12	21	6	1	1.28000E-002	1.40000E-003	9.00000E-004	3.23000E-008	6.00000E-010	4.37300E-007	3.48350E+000	7.23124E+002	7.25428E+002	2.30320E+000	1.26750E-001	6.88000E-001	1.87300E-010	1.87300E-010	2.01200E-007
16	19	6	1	1.27000E-002	1.40000E-003	9.00000E-004	4.41000E-008	4.00000E-010	3.64300E-007	3.45210E+000	7.27311E+002	7.29580E+002	2.26940E+000	1.27099E-001	6.89500E-001	1.19400E-010	1.28800E-010	1.71000E-007
