Program name	ME58P82_G0A89BA.jtf
Lot number	FA55-5183-323A-250509@203
Wafer number	15
Date	2025/05/09
Time	22:33:26

No.U	X	Y	Bin	CONT	IGSS0	IGSS10	ISGS10	VTH0.25	BVDSS0.25	BVDSS10	IDSS240	IDSS250	IGSS16	ISGS16	IGSS18	ISGS18	VTH0.25_2
LimitU				0.500V	99.00uA	100.0nA	100.0nA	4.500V	300.0V	300.0V	800.0nA	800.0nA	200.0nA	200.0nA	200.0nA	200.0nA	4.500V	
LimitL				0V	0A	0A	0A	2.500V	250.0V	250.0V	0A	0A	0A	0A	0A	0A	2.500V	
Bias 1				1.00mA	1.00V	10.0V	10.0V	250uA	250uA	10.0mA	240V	250V	16.0V	16.0V	18.0V	18.0V	250uA
Bias 2				
Bias 3									350V	350V
Bias 4				2.50ms	10.0ms	40.0ms	40.0ms	2.00ms	20.0ms	10.0ms	20.0ms	20.0ms	40.0ms	40.0ms	40.0ms	40.0ms	2.00ms	
Bias 5				
Bias 6				
1	9	5	1	0.000E+00	0.000E+00	7.000E-10	1.700E-09	3.845E+00	2.859E+02	2.875E+02	1.023E-07	1.396E-07	2.800E-09	6.900E-09	3.100E-09	5.400E-09	3.845E+00	
2	10	5	1	0.000E+00	3.000E-08	1.900E-09	1.400E-09	3.688E+00	2.863E+02	2.878E+02	1.023E-07	1.404E-07	8.000E-10	1.600E-09	4.200E-09	9.000E-10	3.689E+00	
3	11	5	1	1.000E-03	2.000E-08	3.100E-09	4.600E-09	3.694E+00	2.864E+02	2.882E+02	1.025E-07	1.372E-07	0.000E+00	4.500E-09	8.000E-10	6.600E-09	3.694E+00	
4	12	5	1	0.000E+00	1.000E-08	2.200E-09	3.700E-09	3.807E+00	2.870E+02	2.885E+02	9.960E-08	1.352E-07	2.100E-09	1.200E-09	4.500E-09	7.000E-10	3.808E+00	
5	13	5	1	0.000E+00	0.000E+00	3.600E-09	1.700E-09	3.786E+00	2.874E+02	2.890E+02	9.810E-08	1.328E-07	6.000E-10	8.000E-10	3.200E-09	1.200E-09	3.786E+00	
6	14	6	1	0.000E+00	2.000E-08	7.000E-10	5.400E-09	3.668E+00	2.867E+02	2.884E+02	1.007E-07	1.365E-07	5.700E-09	7.800E-09	2.500E-09	2.300E-09	3.667E+00	
7	13	6	1	0.000E+00	0.000E+00	0.000E+00	4.300E-09	3.624E+00	2.862E+02	2.878E+02	1.026E-07	1.406E-07	8.700E-09	7.000E-10	5.100E-09	7.700E-09	3.624E+00	
8	12	6	1	0.000E+00	3.000E-08	4.000E-09	2.000E-09	3.650E+00	2.858E+02	2.874E+02	1.052E-07	1.432E-07	6.000E-10	5.200E-09	2.800E-09	1.100E-09	3.650E+00	
9	11	6	1	0.000E+00	0.000E+00	3.300E-09	5.000E-10	3.634E+00	2.854E+02	2.869E+02	1.076E-07	1.463E-07	2.300E-09	4.500E-09	1.600E-09	2.200E-09	3.633E+00	
10	10	6	1	1.000E-03	0.000E+00	1.100E-09	3.700E-09	3.616E+00	2.855E+02	2.868E+02	1.083E-07	1.478E-07	4.700E-09	3.200E-09	3.700E-09	5.500E-09	3.617E+00	
11	9	6	1	0.000E+00	2.000E-08	5.000E-10	2.800E-09	3.634E+00	2.866E+02	2.879E+02	1.058E-07	1.437E-07	8.500E-09	2.600E-09	2.800E-09	4.000E-10	3.635E+00	
12	8	6	1	0.000E+00	1.000E-08	3.600E-09	2.500E-09	3.589E+00	2.856E+02	2.875E+02	1.057E-07	1.429E-07	3.100E-09	4.300E-09	2.300E-09	0.000E+00	3.590E+00	
13	7	7	1	0.000E+00	1.000E-08	1.100E-09	8.000E-10	3.586E+00	2.872E+02	2.889E+02	1.058E-07	1.404E-07	2.900E-09	2.800E-09	0.000E+00	4.800E-09	3.585E+00	
14	8	7	1	0.000E+00	0.000E+00	1.100E-09	4.400E-09	3.545E+00	2.864E+02	2.880E+02	1.083E-07	1.488E-07	3.800E-09	4.800E-09	2.400E-09	4.100E-09	3.545E+00	
15	9	7	1	0.000E+00	0.000E+00	3.000E-09	5.000E-09	3.651E+00	2.859E+02	2.872E+02	1.092E-07	1.507E-07	1.000E-09	1.200E-09	1.600E-09	7.700E-09	3.651E+00	
16	10	7	1	1.000E-03	1.000E-08	7.000E-10	1.600E-09	3.653E+00	2.851E+02	2.865E+02	1.119E-07	1.534E-07	1.300E-09	2.100E-09	6.000E-10	7.000E-10	3.652E+00	
17	11	7	1	0.000E+00	2.000E-08	2.000E-09	7.000E-10	3.651E+00	2.849E+02	2.863E+02	1.115E-07	1.533E-07	2.400E-09	1.000E-09	7.100E-09	2.800E-09	3.652E+00	
18	12	7	1	0.000E+00	1.000E-08	1.700E-09	4.700E-09	3.767E+00	2.851E+02	2.866E+02	1.099E-07	1.474E-07	2.400E-09	9.000E-10	8.000E-10	1.400E-09	3.768E+00	
19	13	7	1	1.000E-03	1.000E-08	7.000E-10	4.800E-09	3.638E+00	2.854E+02	2.871E+02	1.080E-07	1.448E-07	4.000E-10	1.700E-09	7.000E-10	6.900E-09	3.638E+00	
20	14	7	1	0.000E+00	0.000E+00	4.000E-10	5.000E-09	3.625E+00	2.860E+02	2.875E+02	1.042E-07	1.428E-07	4.000E-09	1.800E-09	2.400E-09	5.400E-09	3.626E+00	
21	15	7	1	0.000E+00	2.000E-08	1.400E-09	2.400E-09	3.802E+00	2.864E+02	2.881E+02	1.007E-07	1.372E-07	6.900E-09	3.300E-09	2.700E-09	1.400E-09	3.803E+00	
22	16	8	1	0.000E+00	0.000E+00	6.000E-10	7.000E-10	3.705E+00	2.866E+02	2.884E+02	9.980E-08	1.352E-07	2.100E-09	2.900E-09	7.000E-10	8.000E-10	3.706E+00	
23	15	8	1	0.000E+00	2.000E-08	4.400E-09	1.000E-10	3.659E+00	2.859E+02	2.875E+02	1.049E-07	1.423E-07	1.800E-09	3.300E-09	1.900E-09	1.300E-09	3.658E+00	
24	14	8	1	0.000E+00	0.000E+00	2.000E-10	4.000E-10	3.625E+00	2.853E+02	2.870E+02	1.087E-07	1.443E-07	3.000E-09	2.400E-09	6.000E-10	1.000E-09	3.624E+00	
25	13	8	1	0.000E+00	1.000E-08	1.500E-09	4.200E-09	3.632E+00	2.851E+02	2.866E+02	1.084E-07	1.495E-07	3.900E-09	2.700E-09	1.000E-10	3.800E-09	3.632E+00	
26	12	8	1	0.000E+00	0.000E+00	4.300E-09	1.400E-09	3.661E+00	2.850E+02	2.864E+02	1.118E-07	1.526E-07	0.000E+00	8.000E-10	3.900E-09	1.400E-09	3.660E+00	
27	11	8	1	0.000E+00	0.000E+00	4.200E-09	5.900E-09	3.645E+00	2.849E+02	2.864E+02	1.124E-07	1.540E-07	6.100E-09	9.000E-10	5.700E-09	6.800E-09	3.645E+00	
