Program name	ME58P82_G0A89BA.jtf
Lot number	FA55-5183-323A-250509@203
Wafer number	2
Date	2025/05/09
Time	21:03:49

No.U	X	Y	Bin	CONT	IGSS0	IGSS10	ISGS10	VTH0.25	BVDSS0.25	BVDSS10	IDSS240	IDSS250	IGSS16	ISGS16	IGSS18	ISGS18	VTH0.25_2
LimitU				0.500V	99.00uA	100.0nA	100.0nA	4.500V	300.0V	300.0V	800.0nA	800.0nA	200.0nA	200.0nA	200.0nA	200.0nA	4.500V	
LimitL				0V	0A	0A	0A	2.500V	250.0V	250.0V	0A	0A	0A	0A	0A	0A	2.500V	
Bias 1				1.00mA	1.00V	10.0V	10.0V	250uA	250uA	10.0mA	240V	250V	16.0V	16.0V	18.0V	18.0V	250uA
Bias 2				
Bias 3									350V	350V
Bias 4				2.50ms	10.0ms	40.0ms	40.0ms	2.00ms	20.0ms	10.0ms	20.0ms	20.0ms	40.0ms	40.0ms	40.0ms	40.0ms	2.00ms	
Bias 5				
Bias 6				
1	9	5	1	0.000E+00	0.000E+00	1.000E-10	5.900E-09	3.809E+00	2.867E+02	2.882E+02	1.126E-07	1.499E-07	5.000E-10	2.300E-09	1.800E-09	8.400E-09	3.809E+00	
2	10	5	1	1.000E-03	2.000E-08	2.400E-09	5.100E-09	3.564E+00	2.876E+02	2.886E+02	1.161E-07	1.574E-07	7.900E-09	2.100E-09	6.500E-09	4.100E-09	3.564E+00	
3	11	5	1	0.000E+00	1.000E-08	1.200E-09	1.600E-09	3.532E+00	2.876E+02	2.890E+02	1.172E-07	1.563E-07	3.700E-09	6.000E-10	1.200E-09	2.900E-09	3.533E+00	
4	12	5	1	1.000E-03	0.000E+00	1.600E-09	3.600E-09	3.646E+00	2.883E+02	2.896E+02	1.134E-07	1.506E-07	5.000E-09	7.100E-09	1.000E-09	5.400E-09	3.647E+00	
5	13	5	1	0.000E+00	0.000E+00	4.400E-09	2.900E-09	3.628E+00	2.889E+02	2.902E+02	1.091E-07	1.452E-07	1.400E-09	8.000E-10	5.100E-09	2.300E-09	3.629E+00	
6	14	6	1	0.000E+00	0.000E+00	3.200E-09	4.000E-10	3.554E+00	2.884E+02	2.897E+02	1.133E-07	1.505E-07	1.500E-09	3.800E-09	1.400E-09	1.900E-09	3.555E+00	
7	13	6	1	0.000E+00	2.000E-08	5.000E-09	3.000E-10	3.501E+00	2.876E+02	2.889E+02	1.195E-07	1.599E-07	3.200E-09	6.200E-09	2.000E-10	2.000E-09	3.500E+00	
8	12	6	1	0.000E+00	0.000E+00	1.600E-09	0.000E+00	3.532E+00	2.871E+02	2.883E+02	1.221E-07	1.651E-07	5.400E-09	1.700E-09	1.200E-09	3.800E-09	3.532E+00	
9	11	6	1	0.000E+00	0.000E+00	6.000E-10	5.000E-10	3.501E+00	2.866E+02	2.878E+02	1.263E-07	1.714E-07	1.500E-09	1.000E-09	6.400E-09	9.000E-10	3.502E+00	
10	10	6	1	0.000E+00	0.000E+00	6.000E-10	4.700E-09	3.492E+00	2.870E+02	2.880E+02	1.265E-07	1.693E-07	3.900E-09	6.400E-09	1.800E-09	6.500E-09	3.493E+00	
11	9	6	1	1.000E-03	0.000E+00	2.200E-09	0.000E+00	3.603E+00	2.878E+02	2.888E+02	1.191E-07	1.612E-07	9.000E-10	1.100E-09	3.600E-09	3.000E-10	3.601E+00	
12	8	6	1	0.000E+00	2.000E-08	1.200E-09	3.000E-10	3.532E+00	2.878E+02	2.890E+02	1.148E-07	1.544E-07	3.000E-09	1.500E-09	2.500E-09	2.100E-09	3.533E+00	
13	7	7	1	0.000E+00	1.000E-08	2.500E-09	5.800E-09	3.527E+00	2.891E+02	2.902E+02	1.136E-07	1.519E-07	8.000E-10	1.500E-09	6.100E-09	4.200E-09	3.527E+00	
14	8	7	1	1.000E-03	1.000E-08	1.100E-09	1.100E-09	3.500E+00	2.877E+02	2.887E+02	1.218E-07	1.639E-07	2.000E-09	1.500E-09	2.500E-09	9.000E-10	3.500E+00	
15	9	7	1	1.000E-03	0.000E+00	2.000E-10	4.700E-09	3.602E+00	2.870E+02	2.881E+02	1.270E-07	1.708E-07	4.600E-09	5.600E-09	3.900E-09	5.200E-09	3.603E+00	
16	10	7	1	0.000E+00	0.000E+00	3.700E-09	6.000E-10	3.518E+00	2.865E+02	2.875E+02	1.313E-07	1.771E-07	2.900E-09	4.700E-09	1.600E-09	1.200E-09	3.519E+00	
17	11	7	1	0.000E+00	1.000E-08	1.300E-09	3.800E-09	3.528E+00	2.860E+02	2.871E+02	1.301E-07	1.782E-07	3.500E-09	2.800E-09	6.000E-10	1.700E-09	3.528E+00	
18	12	7	1	0.000E+00	0.000E+00	6.000E-10	5.100E-09	3.641E+00	2.861E+02	2.874E+02	1.278E-07	1.740E-07	5.000E-10	1.500E-09	6.500E-09	4.500E-09	3.641E+00	
19	13	7	1	0.000E+00	0.000E+00	1.700E-09	4.800E-09	3.482E+00	2.867E+02	2.879E+02	1.288E-07	1.709E-07	4.100E-09	2.600E-09	1.000E-09	2.000E-09	3.482E+00	
20	14	7	1	0.000E+00	1.000E-08	1.800E-09	8.000E-10	3.504E+00	2.872E+02	2.886E+02	1.210E-07	1.617E-07	7.700E-09	4.000E-09	3.800E-09	1.100E-09	3.504E+00	
21	15	7	1	0.000E+00	3.000E-08	6.100E-09	1.000E-10	3.657E+00	2.883E+02	2.896E+02	1.136E-07	1.516E-07	3.100E-09	3.100E-09	7.000E-10	1.200E-09	3.657E+00	
22	16	8	1	0.000E+00	0.000E+00	1.000E-09	5.400E-09	3.614E+00	2.886E+02	2.900E+02	1.117E-07	1.455E-07	5.400E-09	3.500E-09	5.000E-10	1.600E-09	3.614E+00	
23	15	8	1	1.000E-03	3.000E-08	3.500E-09	7.700E-09	3.554E+00	2.875E+02	2.887E+02	1.184E-07	1.602E-07	5.300E-09	3.400E-09	6.300E-09	2.300E-09	3.554E+00	
24	14	8	1	0.000E+00	2.000E-08	4.400E-09	7.000E-10	3.498E+00	2.865E+02	2.878E+02	1.262E-07	1.698E-07	1.300E-09	1.400E-09	5.700E-09	1.700E-09	3.498E+00	
25	13	8	1	0.000E+00	0.000E+00	1.700E-09	9.000E-10	3.501E+00	2.859E+02	2.873E+02	1.307E-07	1.741E-07	4.400E-09	1.200E-09	5.000E-10	8.000E-10	3.501E+00	
26	12	8	1	0.000E+00	0.000E+00	2.000E-09	0.000E+00	3.519E+00	2.858E+02	2.871E+02	1.343E-07	1.794E-07	5.000E-09	2.600E-09	3.300E-09	4.500E-09	3.518E+00	
27	11	8	1	1.000E-03	1.000E-08	6.000E-09	3.700E-09	3.490E+00	2.858E+02	2.871E+02	1.351E-07	1.831E-07	2.000E-09	6.000E-10	2.500E-09	2.000E-09	3.490E+00	
