Program name	ME58P82_G0A89BA.jtf
Lot number	FA55-5183-323A-250509@203
Wafer number	5
Date	2025/05/09
Time	21:23:51

No.U	X	Y	Bin	CONT	IGSS0	IGSS10	ISGS10	VTH0.25	BVDSS0.25	BVDSS10	IDSS240	IDSS250	IGSS16	ISGS16	IGSS18	ISGS18	VTH0.25_2
LimitU				0.500V	99.00uA	100.0nA	100.0nA	4.500V	300.0V	300.0V	800.0nA	800.0nA	200.0nA	200.0nA	200.0nA	200.0nA	4.500V	
LimitL				0V	0A	0A	0A	2.500V	250.0V	250.0V	0A	0A	0A	0A	0A	0A	2.500V	
Bias 1				1.00mA	1.00V	10.0V	10.0V	250uA	250uA	10.0mA	240V	250V	16.0V	16.0V	18.0V	18.0V	250uA
Bias 2				
Bias 3									350V	350V
Bias 4				2.50ms	10.0ms	40.0ms	40.0ms	2.00ms	20.0ms	10.0ms	20.0ms	20.0ms	40.0ms	40.0ms	40.0ms	40.0ms	2.00ms	
Bias 5				
Bias 6				
1	9	5	1	0.000E+00	2.000E-08	8.000E-10	9.100E-09	3.743E+00	2.874E+02	2.892E+02	1.134E-07	1.510E-07	2.000E-09	8.500E-09	2.400E-09	6.600E-09	3.743E+00	
2	10	5	1	0.000E+00	1.000E-08	2.200E-09	2.400E-09	3.496E+00	2.875E+02	2.889E+02	1.190E-07	1.586E-07	6.500E-09	5.400E-09	2.100E-09	2.200E-09	3.496E+00	
3	11	5	14	0.000E+00	1.000E-08	1.900E-09	1.400E-09	3.437E+00	2.868E+02	2.884E+02	1.194E-07	1.614E-07	1.700E-09	2.300E-09	2.100E-09	999.9		
4	12	5	1	0.000E+00	2.000E-08	0.000E+00	3.500E-09	3.495E+00	2.866E+02	2.882E+02	1.204E-07	1.601E-07	2.200E-09	1.000E-10	3.000E-10	8.200E-09	3.494E+00	
5	13	5	1	0.000E+00	1.000E-08	3.100E-09	1.200E-09	3.481E+00	2.864E+02	2.878E+02	1.180E-07	1.601E-07	3.800E-09	7.000E-10	5.200E-09	3.000E-10	3.481E+00	
6	14	6	1	0.000E+00	0.000E+00	3.200E-09	6.000E-10	3.414E+00	2.853E+02	2.867E+02	1.248E-07	1.690E-07	2.100E-09	2.600E-09	7.000E-10	8.000E-10	3.413E+00	
7	13	6	1	0.000E+00	2.000E-08	4.200E-09	3.100E-09	3.316E+00	2.852E+02	2.865E+02	1.292E-07	1.763E-07	1.000E-09	6.000E-10	2.500E-09	1.900E-09	3.316E+00	
8	12	6	1	0.000E+00	2.000E-08	2.500E-09	3.000E-09	3.335E+00	2.856E+02	2.870E+02	1.280E-07	1.752E-07	7.000E-10	0.000E+00	1.800E-09	4.000E-10	3.336E+00	
9	11	6	1	0.000E+00	1.000E-08	1.200E-09	7.400E-09	3.322E+00	2.859E+02	2.874E+02	1.291E-07	1.740E-07	4.600E-09	3.800E-09	3.400E-09	4.800E-09	3.323E+00	
10	10	6	1	0.000E+00	1.000E-08	3.200E-09	3.900E-09	3.347E+00	2.864E+02	2.878E+02	1.277E-07	1.717E-07	4.800E-09	8.500E-09	1.700E-09	9.000E-10	3.346E+00	
11	9	6	1	0.000E+00	0.000E+00	1.900E-09	1.900E-09	3.398E+00	2.871E+02	2.884E+02	1.232E-07	1.656E-07	3.300E-09	5.700E-09	0.000E+00	2.000E-10	3.398E+00	
12	8	6	1	0.000E+00	2.000E-08	1.800E-09	2.800E-09	3.419E+00	2.878E+02	2.893E+02	1.177E-07	1.559E-07	3.900E-09	3.600E-09	1.000E-10	2.700E-09	3.420E+00	
13	7	7	1	0.000E+00	0.000E+00	2.000E-09	0.000E+00	3.436E+00	2.874E+02	2.890E+02	1.181E-07	1.588E-07	1.200E-09	7.000E-10	3.700E-09	1.000E-10	3.436E+00	
14	8	7	1	0.000E+00	0.000E+00	4.900E-09	6.000E-10	3.347E+00	2.869E+02	2.881E+02	1.252E-07	1.695E-07	1.000E-09	1.700E-09	1.700E-09	1.000E-09	3.346E+00	
15	9	7	1	0.000E+00	1.000E-08	2.000E-09	2.800E-09	3.387E+00	2.858E+02	2.873E+02	1.304E-07	1.779E-07	2.100E-09	6.000E-10	3.500E-09	1.700E-09	3.386E+00	
16	10	7	1	0.000E+00	1.000E-08	1.600E-09	1.200E-09	3.352E+00	2.855E+02	2.869E+02	1.349E-07	1.811E-07	7.900E-09	3.300E-09	3.200E-09	2.400E-09	3.352E+00	
17	11	7	1	0.000E+00	0.000E+00	5.000E-10	3.100E-09	3.333E+00	2.850E+02	2.865E+02	1.370E-07	1.849E-07	3.600E-09	5.200E-09	6.000E-10	4.700E-09	3.333E+00	
18	12	7	1	0.000E+00	1.000E-08	2.700E-09	4.000E-10	3.438E+00	2.848E+02	2.861E+02	1.318E-07	1.805E-07	1.200E-09	8.000E-10	2.800E-09	0.000E+00	3.439E+00	
19	13	7	1	0.000E+00	0.000E+00	2.300E-09	3.000E-10	3.322E+00	2.844E+02	2.859E+02	1.344E-07	1.830E-07	1.600E-09	3.800E-09	3.000E-10	3.000E-10	3.322E+00	
20	14	7	1	0.000E+00	0.000E+00	7.000E-10	3.900E-09	3.342E+00	2.846E+02	2.862E+02	1.298E-07	1.758E-07	5.100E-09	4.700E-09	9.000E-10	6.400E-09	3.342E+00	
21	15	7	1	0.000E+00	0.000E+00	6.000E-10	5.100E-09	3.582E+00	2.849E+02	2.864E+02	1.207E-07	1.644E-07	3.700E-09	6.000E-09	3.600E-09	2.600E-09	3.582E+00	
22	16	8	1	0.000E+00	1.000E-08	4.000E-09	3.000E-10	3.446E+00	2.847E+02	2.863E+02	1.231E-07	1.680E-07	3.800E-09	6.000E-10	1.300E-09	7.000E-10	3.446E+00	
23	15	8	1	0.000E+00	0.000E+00	5.100E-09	3.100E-09	3.393E+00	2.845E+02	2.858E+02	1.282E-07	1.754E-07	3.600E-09	7.000E-10	4.300E-09	1.600E-09	3.393E+00	
24	14	8	1	0.000E+00	0.000E+00	1.600E-09	3.100E-09	3.307E+00	2.843E+02	2.858E+02	1.355E-07	1.845E-07	4.600E-09	8.900E-09	2.900E-09	1.600E-09	3.308E+00	
25	13	8	1	0.000E+00	1.000E-08	8.000E-10	3.800E-09	3.293E+00	2.844E+02	2.858E+02	1.374E-07	1.876E-07	5.500E-09	6.300E-09	4.100E-09	3.000E-09	3.292E+00	
26	12	8	1	0.000E+00	0.000E+00	1.700E-09	2.000E-10	3.353E+00	2.847E+02	2.861E+02	1.379E-07	1.881E-07	3.000E-09	2.000E-10	9.000E-10	8.000E-10	3.352E+00	
27	11	8	1	0.000E+00	2.000E-08	1.000E-10	3.100E-09	3.307E+00	2.847E+02	2.862E+02	1.398E-07	1.904E-07	2.500E-09	1.500E-09	0.000E+00	3.500E-09	3.308E+00	
28	10	8	1	0.000E+00	0.000E+00	0.000E+00	5.100E-09	3.321E+00	2.847E+02	2.863E+02	1.388E-07	1.874E-07	2.800E-09	5.100E-09	6.000E-10	3.000E-09	3.321E+00	
