Program name	ME58P82_G0A89BA.jtf
Lot number	FA55-5183-323A-250509@203
Wafer number	6
Date	2025/05/09
Time	21:31:19

No.U	X	Y	Bin	CONT	IGSS0	IGSS10	ISGS10	VTH0.25	BVDSS0.25	BVDSS10	IDSS240	IDSS250	IGSS16	ISGS16	IGSS18	ISGS18	VTH0.25_2
LimitU				0.500V	99.00uA	100.0nA	100.0nA	4.500V	300.0V	300.0V	800.0nA	800.0nA	200.0nA	200.0nA	200.0nA	200.0nA	4.500V	
LimitL				0V	0A	0A	0A	2.500V	250.0V	250.0V	0A	0A	0A	0A	0A	0A	2.500V	
Bias 1				1.00mA	1.00V	10.0V	10.0V	250uA	250uA	10.0mA	240V	250V	16.0V	16.0V	18.0V	18.0V	250uA
Bias 2				
Bias 3									350V	350V
Bias 4				2.50ms	10.0ms	40.0ms	40.0ms	2.00ms	20.0ms	10.0ms	20.0ms	20.0ms	40.0ms	40.0ms	40.0ms	40.0ms	2.00ms	
Bias 5				
Bias 6				
1	9	5	1	0.000E+00	0.000E+00	1.400E-09	1.700E-09	3.891E+00	2.878E+02	2.895E+02	1.085E-07	1.443E-07	5.300E-09	5.500E-09	1.400E-09	5.700E-09	3.891E+00	
2	10	5	1	0.000E+00	0.000E+00	3.500E-09	1.100E-09	3.685E+00	2.882E+02	2.895E+02	1.127E-07	1.507E-07	2.300E-09	2.500E-09	2.800E-09	5.000E-10	3.686E+00	
3	11	5	1	0.000E+00	4.000E-08	2.100E-09	1.200E-09	3.664E+00	2.877E+02	2.891E+02	1.128E-07	1.522E-07	9.000E-10	3.000E-09	1.000E-09	8.000E-10	3.663E+00	
4	12	5	1	0.000E+00	1.000E-08	1.200E-09	2.200E-09	3.781E+00	2.874E+02	2.886E+02	1.138E-07	1.496E-07	3.700E-09	1.800E-09	1.400E-09	1.200E-09	3.781E+00	
5	13	5	1	1.000E-03	1.000E-08	1.600E-09	7.200E-09	3.731E+00	2.867E+02	2.879E+02	1.139E-07	1.522E-07	1.800E-09	9.200E-09	1.900E-09	5.700E-09	3.731E+00	
6	14	6	1	0.000E+00	1.000E-08	5.400E-09	6.000E-10	3.646E+00	2.861E+02	2.874E+02	1.174E-07	1.592E-07	4.000E-10	1.400E-09	1.100E-09	8.000E-10	3.646E+00	
7	13	6	1	0.000E+00	0.000E+00	4.000E-10	3.200E-09	3.611E+00	2.858E+02	2.871E+02	1.202E-07	1.641E-07	7.000E-10	7.000E-10	7.000E-09	0.000E+00	3.611E+00	
8	12	6	1	0.000E+00	0.000E+00	3.000E-10	1.500E-09	3.625E+00	2.864E+02	2.875E+02	1.218E-07	1.623E-07	2.100E-09	5.400E-09	1.300E-09	1.800E-09	3.625E+00	
9	11	6	1	0.000E+00	1.000E-08	0.000E+00	2.300E-09	3.623E+00	2.867E+02	2.879E+02	1.204E-07	1.639E-07	3.100E-09	1.000E-10	5.800E-09	1.200E-09	3.623E+00	
10	10	6	1	0.000E+00	2.000E-08	2.000E-10	2.200E-09	3.621E+00	2.870E+02	2.884E+02	1.211E-07	1.601E-07	8.000E-10	3.100E-09	1.300E-09	3.300E-09	3.621E+00	
11	9	6	1	0.000E+00	3.000E-08	2.000E-10	6.000E-10	3.596E+00	2.878E+02	2.890E+02	1.179E-07	1.586E-07	9.000E-10	2.100E-09	5.300E-09	3.200E-09	3.596E+00	
12	8	6	1	0.000E+00	2.000E-08	2.000E-10	3.300E-09	3.531E+00	2.887E+02	2.898E+02	1.156E-07	1.521E-07	9.000E-10	2.000E-09	2.100E-09	7.800E-09	3.531E+00	
13	7	7	1	0.000E+00	2.000E-08	2.800E-09	9.000E-10	3.533E+00	2.882E+02	2.897E+02	1.164E-07	1.544E-07	2.900E-09	2.600E-09	4.100E-09	1.800E-09	3.533E+00	
14	8	7	1	1.000E-03	0.000E+00	3.300E-09	5.500E-09	3.511E+00	2.877E+02	2.889E+02	1.203E-07	1.621E-07	1.800E-09	1.000E-10	3.800E-09	5.400E-09	3.511E+00	
15	9	7	1	0.000E+00	0.000E+00	1.300E-09	6.200E-09	3.662E+00	2.867E+02	2.879E+02	1.229E-07	1.679E-07	5.900E-09	8.000E-10	4.000E-09	6.100E-09	3.663E+00	
16	10	7	1	0.000E+00	1.000E-08	1.800E-09	4.300E-09	3.671E+00	2.861E+02	2.875E+02	1.260E-07	1.684E-07	5.400E-09	0.000E+00	2.000E-10	7.000E-10	3.671E+00	
17	11	7	1	0.000E+00	0.000E+00	1.100E-09	3.000E-10	3.690E+00	2.858E+02	2.872E+02	1.260E-07	1.690E-07	4.300E-09	3.300E-09	2.000E-10	3.300E-09	3.690E+00	
18	12	7	1	0.000E+00	0.000E+00	3.000E-09	3.800E-09	3.755E+00	2.854E+02	2.867E+02	1.260E-07	1.718E-07	2.500E-09	0.000E+00	6.900E-09	2.300E-09	3.756E+00	
19	13	7	1	0.000E+00	3.000E-08	2.500E-09	0.000E+00	3.644E+00	2.852E+02	2.866E+02	1.255E-07	1.710E-07	2.200E-09	5.600E-09	1.800E-09	4.000E-10	3.643E+00	
20	14	7	1	0.000E+00	1.000E-08	0.000E+00	5.300E-09	3.589E+00	2.856E+02	2.869E+02	1.211E-07	1.666E-07	6.400E-09	1.000E-10	4.000E-09	5.800E-09	3.589E+00	
21	15	7	1	0.000E+00	1.000E-08	5.000E-10	2.000E-10	3.783E+00	2.859E+02	2.870E+02	1.188E-07	1.616E-07	1.000E-09	5.200E-09	5.000E-10	4.000E-10	3.783E+00	
22	16	8	1	0.000E+00	3.000E-08	3.500E-09	2.300E-09	3.691E+00	2.860E+02	2.873E+02	1.141E-07	1.565E-07	1.200E-09	3.400E-09	1.300E-09	7.200E-09	3.691E+00	
23	15	8	1	0.000E+00	2.000E-08	3.500E-09	4.000E-10	3.637E+00	2.854E+02	2.865E+02	1.230E-07	1.686E-07	1.700E-09	4.600E-09	1.500E-09	2.100E-09	3.638E+00	
24	14	8	1	0.000E+00	0.000E+00	1.000E-09	4.900E-09	3.610E+00	2.852E+02	2.866E+02	1.269E-07	1.718E-07	6.300E-09	8.200E-09	3.000E-09	4.900E-09	3.609E+00	
25	13	8	1	0.000E+00	0.000E+00	3.500E-09	3.800E-09	3.612E+00	2.850E+02	2.864E+02	1.285E-07	1.752E-07	4.000E-10	1.100E-09	7.400E-09	3.400E-09	3.612E+00	
26	12	8	1	0.000E+00	2.000E-08	2.000E-10	3.300E-09	3.669E+00	2.853E+02	2.866E+02	1.302E-07	1.745E-07	3.900E-09	3.500E-09	2.100E-09	5.000E-10	3.669E+00	
27	11	8	1	0.000E+00	0.000E+00	1.900E-09	2.900E-09	3.647E+00	2.852E+02	2.867E+02	1.278E-07	1.755E-07	4.800E-09	3.600E-09	1.000E-10	5.400E-09	3.647E+00	
