Program name	ME58P82_G0A89BA.jtf
Lot number	FA55-4307-327A-250501@203
Wafer number	20
Date	2025/05/01
Time	06:16:28

No.U	X	Y	Bin	CONT	IGSS0	IGSS10	ISGS10	VTH0.25	BVDSS0.25	BVDSS10	IDSS240	IDSS250	IGSS16	ISGS16	IGSS18	ISGS18	VTH0.25_2
LimitU				0.500V	99.00uA	100.0nA	100.0nA	4.500V	300.0V	300.0V	800.0nA	800.0nA	200.0nA	200.0nA	200.0nA	200.0nA	4.500V	
LimitL				0V	0A	0A	0A	2.500V	250.0V	250.0V	0A	0A	0A	0A	0A	0A	2.500V	
Bias 1				1.00mA	1.00V	10.0V	10.0V	250uA	250uA	10.0mA	240V	250V	16.0V	16.0V	18.0V	18.0V	250uA
Bias 2				
Bias 3									350V	350V
Bias 4				2.50ms	10.0ms	40.0ms	40.0ms	2.00ms	20.0ms	10.0ms	20.0ms	20.0ms	40.0ms	40.0ms	40.0ms	40.0ms	2.00ms	
Bias 5				
Bias 6				
1	9	5	1	1.000E-03	1.000E-08	2.100E-09	1.000E-10	2.697E+00	2.850E+02	2.873E+02	1.897E-07	2.553E-07	1.000E-09	2.900E-09	1.800E-09	1.000E-10	2.697E+00	
2	10	5	1	1.000E-03	1.000E-08	5.000E-10	2.800E-09	2.632E+00	2.842E+02	2.860E+02	1.976E-07	2.654E-07	4.400E-09	3.800E-09	1.400E-09	5.000E-10	2.633E+00	
3	11	5	1	0.000E+00	1.000E-08	1.000E-09	3.300E-09	2.621E+00	2.843E+02	2.861E+02	1.937E-07	2.624E-07	3.300E-09	1.600E-09	7.000E-10	4.900E-09	2.621E+00	
4	12	5	1	1.000E-03	0.000E+00	8.000E-10	4.900E-09	2.589E+00	2.846E+02	2.865E+02	1.928E-07	2.598E-07	2.000E-10	3.000E-10	7.000E-10	3.100E-09	2.588E+00	
5	13	5	1	0.000E+00	1.000E-08	1.300E-09	5.000E-10	2.560E+00	2.848E+02	2.866E+02	1.990E-07	2.660E-07	2.300E-09	1.800E-09	8.000E-10	5.000E-10	2.560E+00	
6	14	6	1	0.000E+00	0.000E+00	2.800E-09	8.000E-10	2.502E+00	2.820E+02	2.840E+02	2.147E-07	2.902E-07	1.500E-09	0.000E+00	4.000E-10	1.200E-09	2.503E+00	
7	13	6	1	0.000E+00	2.000E-08	1.200E-09	1.900E-09	2.508E+00	2.815E+02	2.834E+02	2.127E-07	2.874E-07	2.100E-09	5.900E-09	2.000E-10	2.900E-09	2.508E+00	
8	12	6	1	1.000E-03	1.000E-08	3.100E-09	5.000E-10	2.549E+00	2.819E+02	2.840E+02	2.036E-07	2.766E-07	1.800E-09	2.100E-09	3.700E-09	1.200E-09	2.548E+00	
9	11	6	1	1.000E-03	1.000E-08	2.200E-09	3.200E-09	2.598E+00	2.815E+02	2.835E+02	2.069E-07	2.812E-07	0.000E+00	4.000E-09	9.000E-10	3.000E-09	2.599E+00	
10	10	6	1	0.000E+00	0.000E+00	1.400E-09	2.000E-09	2.610E+00	2.817E+02	2.837E+02	2.086E-07	2.831E-07	2.800E-09	5.300E-09	4.000E-10	2.000E-10	2.610E+00	
11	9	6	1	1.000E-03	1.000E-08	1.800E-09	4.800E-09	2.611E+00	2.832E+02	2.853E+02	2.048E-07	2.765E-07	5.000E-10	4.000E-10	2.600E-09	1.000E-09	2.611E+00	
12	8	6	1	0.000E+00	0.000E+00	0.000E+00	3.100E-09	2.581E+00	2.842E+02	2.864E+02	2.026E-07	2.725E-07	3.800E-09	5.700E-09	1.700E-09	2.900E-09	2.581E+00	
13	7	7	1	0.000E+00	0.000E+00	2.500E-09	1.700E-09	2.616E+00	2.857E+02	2.880E+02	1.982E-07	2.635E-07	2.500E-09	1.200E-09	4.800E-09	1.000E-09	2.615E+00	
14	8	7	1	0.000E+00	0.000E+00	1.300E-09	9.000E-10	2.603E+00	2.825E+02	2.844E+02	2.103E-07	2.858E-07	1.400E-09	1.200E-09	1.400E-09	1.400E-09	2.603E+00	
15	9	7	1	0.000E+00	0.000E+00	2.100E-09	2.800E-09	2.667E+00	2.825E+02	2.846E+02	2.038E-07	2.758E-07	2.800E-09	4.300E-09	4.000E-10	2.500E-09	2.667E+00	
16	10	7	1	0.000E+00	0.000E+00	7.000E-10	2.000E-09	2.702E+00	2.828E+02	2.846E+02	1.989E-07	2.676E-07	3.400E-09	4.600E-09	1.800E-09	2.500E-09	2.702E+00	
17	11	7	1	0.000E+00	0.000E+00	0.000E+00	3.900E-09	2.686E+00	2.823E+02	2.842E+02	1.977E-07	2.688E-07	4.500E-09	3.200E-09	1.100E-09	2.000E-10	2.686E+00	
18	12	7	1	1.000E-03	2.000E-08	3.000E-10	3.000E-10	2.658E+00	2.825E+02	2.845E+02	1.943E-07	2.649E-07	3.600E-09	1.300E-09	1.600E-09	6.000E-10	2.657E+00	
19	13	7	1	0.000E+00	0.000E+00	5.000E-10	1.200E-09	2.545E+00	2.811E+02	2.830E+02	2.091E-07	2.852E-07	4.600E-09	4.000E-10	2.000E-09	4.000E-10	2.545E+00	
20	14	7	1	0.000E+00	0.000E+00	6.000E-10	0.000E+00	2.521E+00	2.804E+02	2.823E+02	2.200E-07	2.979E-07	2.400E-09	1.600E-09	1.500E-09	1.000E-09	2.521E+00	
21	15	7	1	0.000E+00	0.000E+00	1.400E-09	1.000E-09	2.566E+00	2.814E+02	2.836E+02	2.150E-07	2.907E-07	4.200E-09	1.000E-10	1.400E-09	1.500E-09	2.566E+00	
22	16	8	4	0.000E+00	5.100E-05	999.9												
23	15	8	1	0.000E+00	1.000E-08	8.000E-10	1.500E-09	2.538E+00	2.799E+02	2.821E+02	2.203E-07	3.005E-07	2.800E-09	1.600E-09	3.300E-09	2.600E-09	2.537E+00	
24	14	8	1	0.000E+00	0.000E+00	3.200E-09	2.300E-09	2.554E+00	2.802E+02	2.823E+02	2.150E-07	2.932E-07	1.800E-09	1.400E-09	3.600E-09	1.100E-09	2.554E+00	
25	13	8	1	0.000E+00	0.000E+00	2.600E-09	8.000E-10	2.630E+00	2.814E+02	2.833E+02	2.027E-07	2.765E-07	2.000E-10	1.500E-09	0.000E+00	7.000E-10	2.629E+00	
26	12	8	1	1.000E-03	3.000E-08	1.200E-09	3.300E-09	2.755E+00	2.829E+02	2.849E+02	1.910E-07	2.578E-07	4.000E-09	4.100E-09	1.300E-09	2.200E-09	2.756E+00	
27	11	8	1	1.000E-03	0.000E+00	4.000E-10	3.600E-09	2.770E+00	2.833E+02	2.852E+02	1.895E-07	2.552E-07	3.300E-09	2.100E-09	3.000E-09	5.400E-09	2.770E+00	
28	10	8	1	0.000E+00	0.000E+00	1.800E-09	4.000E-09	2.743E+00	2.831E+02	2.849E+02	1.936E-07	2.625E-07	1.100E-09	2.200E-09	1.800E-09	2.000E-09	2.744E+00	
