Program name	ME58P82_G0A89BA.jtf
Lot number	FA55-4307-327A-250501@203
Wafer number	15
Date	2025/05/01
Time	05:49:22

No.U	X	Y	Bin	CONT	IGSS0	IGSS10	ISGS10	VTH0.25	BVDSS0.25	BVDSS10	IDSS240	IDSS250	IGSS16	ISGS16	IGSS18	ISGS18	VTH0.25_2
LimitU				0.500V	99.00uA	100.0nA	100.0nA	4.500V	300.0V	300.0V	800.0nA	800.0nA	200.0nA	200.0nA	200.0nA	200.0nA	4.500V	
LimitL				0V	0A	0A	0A	2.500V	250.0V	250.0V	0A	0A	0A	0A	0A	0A	2.500V	
Bias 1				1.00mA	1.00V	10.0V	10.0V	250uA	250uA	10.0mA	240V	250V	16.0V	16.0V	18.0V	18.0V	250uA
Bias 2				
Bias 3									350V	350V
Bias 4				2.50ms	10.0ms	40.0ms	40.0ms	2.00ms	20.0ms	10.0ms	20.0ms	20.0ms	40.0ms	40.0ms	40.0ms	40.0ms	2.00ms	
Bias 5				
Bias 6				
1	9	5	9	0.000E+00	0.000E+00	1.800E-09	1.500E-09	2.691E+00	2.881E+02	2.898E+02	999.9							
2	10	5	1	1.000E-03	0.000E+00	2.000E-10	1.000E-09	2.635E+00	2.882E+02	2.897E+02	1.673E-07	2.245E-07	5.000E-10	2.200E-09	1.200E-09	1.100E-09	2.635E+00	
3	11	5	1	0.000E+00	0.000E+00	7.000E-10	1.300E-09	2.657E+00	2.888E+02	2.903E+02	1.635E-07	2.173E-07	1.500E-09	3.900E-09	2.600E-09	1.800E-09	2.657E+00	
4	12	5	1	1.000E-03	1.000E-08	1.500E-09	2.100E-09	2.691E+00	2.894E+02	2.911E+02	1.620E-07	2.141E-07	2.400E-09	0.000E+00	5.000E-10	2.300E-09	2.692E+00	
5	13	5	1	0.000E+00	0.000E+00	1.700E-09	2.400E-09	2.650E+00	2.897E+02	2.911E+02	1.669E-07	2.199E-07	2.900E-09	3.100E-09	1.000E-10	3.200E-09	2.650E+00	
6	14	6	1	0.000E+00	0.000E+00	0.000E+00	1.200E-09	2.611E+00	2.875E+02	2.892E+02	1.781E-07	2.368E-07	2.300E-09	6.600E-09	2.000E-10	1.600E-09	2.611E+00	
7	13	6	1	0.000E+00	1.000E-08	1.300E-09	4.000E-10	2.643E+00	2.874E+02	2.888E+02	1.712E-07	2.307E-07	5.000E-09	3.300E-09	1.800E-09	1.100E-09	2.643E+00	
8	12	6	1	1.000E-03	0.000E+00	1.000E-10	5.600E-09	2.678E+00	2.875E+02	2.891E+02	1.655E-07	2.232E-07	1.200E-09	2.400E-09	1.000E-10	5.600E-09	2.678E+00	
9	11	6	4	0.000E+00	9.752E-05	999.9												
10	10	6	1	0.000E+00	0.000E+00	2.000E-10	1.700E-09	2.637E+00	2.865E+02	2.880E+02	1.705E-07	2.315E-07	3.000E-10	1.900E-09	1.300E-09	2.000E-10	2.636E+00	
11	9	6	1	0.000E+00	0.000E+00	3.600E-09	1.000E-09	2.619E+00	2.870E+02	2.886E+02	1.728E-07	2.335E-07	1.000E-09	1.300E-09	4.000E-10	1.400E-09	2.618E+00	
12	8	6	1	0.000E+00	1.000E-08	1.900E-09	0.000E+00	2.590E+00	2.867E+02	2.885E+02	1.781E-07	2.400E-07	2.100E-09	1.600E-09	1.100E-09	1.700E-09	2.589E+00	
13	7	7	1	0.000E+00	0.000E+00	1.800E-09	1.000E-09	2.575E+00	2.877E+02	2.893E+02	1.778E-07	2.380E-07	8.000E-10	2.700E-09	3.000E-10	6.000E-10	2.575E+00	
14	8	7	1	0.000E+00	0.000E+00	1.600E-09	2.000E-09	2.600E+00	2.868E+02	2.884E+02	1.771E-07	2.362E-07	1.000E-09	2.000E-10	3.000E-10	3.700E-09	2.599E+00	
15	9	7	1	0.000E+00	1.000E-08	3.000E-10	2.100E-09	2.696E+00	2.870E+02	2.886E+02	1.664E-07	2.242E-07	3.000E-09	3.600E-09	7.000E-10	3.000E-09	2.695E+00	
16	10	7	1	0.000E+00	0.000E+00	3.500E-09	4.000E-10	2.744E+00	2.873E+02	2.887E+02	1.602E-07	2.161E-07	1.000E-10	1.400E-09	4.100E-09	3.000E-10	2.743E+00	
17	11	7	1	1.000E-03	0.000E+00	3.200E-09	1.400E-09	2.784E+00	2.879E+02	2.892E+02	1.561E-07	2.099E-07	2.000E-09	2.700E-09	3.000E-09	2.000E-09	2.785E+00	
18	12	7	1	1.000E-03	1.000E-08	0.000E+00	1.900E-09	2.844E+00	2.885E+02	2.899E+02	1.527E-07	2.035E-07	2.200E-09	3.100E-09	2.000E-10	2.300E-09	2.844E+00	
19	13	7	1	0.000E+00	0.000E+00	1.800E-09	7.000E-10	2.715E+00	2.873E+02	2.887E+02	1.661E-07	2.235E-07	0.000E+00	1.900E-09	3.000E-10	1.000E-09	2.716E+00	
20	14	7	1	0.000E+00	0.000E+00	3.400E-09	1.700E-09	2.627E+00	2.854E+02	2.871E+02	1.834E-07	2.462E-07	2.200E-09	3.400E-09	5.000E-10	2.000E-10	2.626E+00	
21	15	7	1	0.000E+00	1.000E-08	1.000E-10	8.000E-10	2.636E+00	2.861E+02	2.880E+02	1.838E-07	2.455E-07	6.000E-10	1.500E-09	1.600E-09	5.000E-10	2.636E+00	
22	16	8	1	0.000E+00	0.000E+00	1.500E-09	9.000E-10	2.562E+00	2.855E+02	2.875E+02	1.920E-07	2.563E-07	7.000E-10	3.900E-09	7.000E-10	2.500E-09	2.562E+00	
23	15	8	1	0.000E+00	1.000E-08	2.100E-09	1.000E-10	2.640E+00	2.849E+02	2.867E+02	1.874E-07	2.504E-07	3.000E-10	2.500E-09	7.000E-10	2.600E-09	2.638E+00	
24	14	8	1	0.000E+00	0.000E+00	1.000E-10	1.300E-09	2.694E+00	2.860E+02	2.877E+02	1.740E-07	2.330E-07	4.700E-09	2.100E-09	6.000E-10	3.000E-10	2.695E+00	
25	13	8	1	1.000E-03	0.000E+00	1.400E-09	2.600E-09	2.825E+00	2.882E+02	2.895E+02	1.551E-07	2.080E-07	2.800E-09	4.200E-09	1.000E-10	2.000E-10	2.824E+00	
26	12	8	1	0.000E+00	2.000E-08	6.000E-10	2.800E-09	2.915E+00	2.892E+02	2.900E+02	1.443E-07	1.937E-07	1.400E-09	2.300E-09	2.500E-09	3.000E-09	2.914E+00	
27	11	8	1	0.000E+00	0.000E+00	6.000E-10	1.800E-09	2.889E+00	2.888E+02	2.896E+02	1.438E-07	1.945E-07	3.600E-09	1.400E-09	1.900E-09	2.800E-09	2.889E+00	
28	10	8	1	1.000E-03	1.000E-08	2.000E-10	3.400E-09	2.826E+00	2.881E+02	2.894E+02	1.512E-07	2.046E-07	4.200E-09	3.000E-10	1.100E-09	2.000E-09	2.826E+00	
29	9	8	4	0.000E+00	2.425E-05	999.9												
