Program name	ME58P82_G0A89BA.jtf
Lot number	FA55-4307-327A-250501@203
Wafer number	18
Date	2025/05/01
Time	06:05:58

No.U	X	Y	Bin	CONT	IGSS0	IGSS10	ISGS10	VTH0.25	BVDSS0.25	BVDSS10	IDSS240	IDSS250	IGSS16	ISGS16	IGSS18	ISGS18	VTH0.25_2
LimitU				0.500V	99.00uA	100.0nA	100.0nA	4.500V	300.0V	300.0V	800.0nA	800.0nA	200.0nA	200.0nA	200.0nA	200.0nA	4.500V	
LimitL				0V	0A	0A	0A	2.500V	250.0V	250.0V	0A	0A	0A	0A	0A	0A	2.500V	
Bias 1				1.00mA	1.00V	10.0V	10.0V	250uA	250uA	10.0mA	240V	250V	16.0V	16.0V	18.0V	18.0V	250uA
Bias 2				
Bias 3									350V	350V
Bias 4				2.50ms	10.0ms	40.0ms	40.0ms	2.00ms	20.0ms	10.0ms	20.0ms	20.0ms	40.0ms	40.0ms	40.0ms	40.0ms	2.00ms	
Bias 5				
Bias 6				
1	9	5	1	1.000E-03	0.000E+00	4.100E-09	4.000E-10	2.719E+00	2.889E+02	2.906E+02	1.762E-07	2.336E-07	6.000E-10	5.000E-10	3.400E-09	6.000E-10	2.719E+00	
2	10	5	1	0.000E+00	0.000E+00	4.400E-09	2.300E-09	2.676E+00	2.871E+02	2.888E+02	1.834E-07	2.437E-07	3.200E-09	1.200E-09	3.600E-09	1.100E-09	2.677E+00	
3	11	5	1	0.000E+00	0.000E+00	3.000E-10	7.000E-10	2.653E+00	2.864E+02	2.882E+02	1.836E-07	2.457E-07	8.000E-10	1.400E-09	8.000E-10	1.100E-09	2.654E+00	
4	12	5	1	0.000E+00	0.000E+00	1.200E-09	9.000E-10	2.638E+00	2.869E+02	2.888E+02	1.802E-07	2.398E-07	1.100E-09	2.000E-10	1.000E-10	2.000E-09	2.636E+00	
5	13	5	1	0.000E+00	0.000E+00	2.400E-09	3.700E-09	2.621E+00	2.871E+02	2.889E+02	1.833E-07	2.430E-07	2.900E-09	2.600E-09	1.800E-09	2.500E-09	2.620E+00	
6	14	6	1	0.000E+00	1.000E-08	3.800E-09	1.500E-09	2.567E+00	2.840E+02	2.858E+02	1.998E-07	2.684E-07	1.800E-09	1.500E-09	2.400E-09	3.000E-10	2.566E+00	
7	13	6	1	0.000E+00	0.000E+00	2.800E-09	3.000E-10	2.557E+00	2.834E+02	2.853E+02	1.991E-07	2.683E-07	5.000E-10	9.000E-10	3.000E-09	1.500E-09	2.557E+00	
8	12	6	1	0.000E+00	0.000E+00	0.000E+00	1.100E-09	2.597E+00	2.839E+02	2.860E+02	1.934E-07	2.601E-07	3.700E-09	3.800E-09	2.000E-10	1.200E-09	2.597E+00	
9	11	6	1	0.000E+00	0.000E+00	2.200E-09	2.100E-09	2.636E+00	2.838E+02	2.857E+02	1.951E-07	2.630E-07	2.200E-09	1.500E-09	2.600E-09	1.000E-10	2.636E+00	
10	10	6	3	0.000E+00	99.99													
11	9	6	1	0.000E+00	0.000E+00	1.500E-09	2.100E-09	2.619E+00	2.844E+02	2.863E+02	1.986E-07	2.672E-07	4.300E-09	2.500E-09	2.000E-10	1.400E-09	2.617E+00	
12	8	6	1	0.000E+00	0.000E+00	8.000E-10	3.100E-09	2.580E+00	2.855E+02	2.875E+02	1.981E-07	2.651E-07	2.500E-09	2.800E-09	4.000E-10	3.300E-09	2.580E+00	
13	7	7	1	0.000E+00	1.000E-08	2.000E-09	1.200E-09	2.588E+00	2.843E+02	2.862E+02	2.059E-07	2.755E-07	1.300E-09	2.300E-09	5.000E-10	6.000E-10	2.588E+00	
14	8	7	1	0.000E+00	1.000E-08	2.000E-09	1.500E-09	2.599E+00	2.824E+02	2.842E+02	2.111E-07	2.848E-07	2.800E-09	3.300E-09	8.000E-10	0.000E+00	2.599E+00	
15	9	7	1	0.000E+00	1.000E-08	2.000E-10	1.700E-09	2.701E+00	2.832E+02	2.853E+02	1.984E-07	2.669E-07	2.200E-09	4.900E-09	0.000E+00	1.300E-09	2.701E+00	
16	10	7	1	1.000E-03	1.000E-08	4.000E-10	6.000E-10	2.717E+00	2.838E+02	2.856E+02	1.919E-07	2.589E-07	5.100E-09	3.000E-10	1.900E-09	9.000E-10	2.717E+00	
17	11	7	1	0.000E+00	2.000E-08	3.000E-10	6.000E-10	2.742E+00	2.846E+02	2.863E+02	1.865E-07	2.514E-07	4.500E-09	2.600E-09	7.000E-10	1.600E-09	2.742E+00	
18	12	7	1	0.000E+00	2.000E-08	2.300E-09	5.000E-10	2.753E+00	2.851E+02	2.869E+02	1.818E-07	2.426E-07	1.800E-09	1.300E-09	9.000E-10	6.000E-10	2.753E+00	
19	13	7	1	0.000E+00	0.000E+00	1.000E-09	9.000E-10	2.620E+00	2.832E+02	2.850E+02	1.962E-07	2.631E-07	3.000E-09	4.200E-09	1.200E-09	7.000E-10	2.618E+00	
20	14	7	1	0.000E+00	1.000E-08	1.100E-09	1.700E-09	2.547E+00	2.816E+02	2.835E+02	2.090E-07	2.845E-07	3.000E-10	5.000E-10	1.600E-09	1.600E-09	2.547E+00	
21	15	7	1	0.000E+00	1.000E-08	2.600E-09	2.300E-09	2.599E+00	2.822E+02	2.845E+02	2.058E-07	2.779E-07	4.100E-09	2.700E-09	4.700E-09	2.300E-09	2.599E+00	
22	16	8	1	0.000E+00	1.000E-08	1.700E-09	2.600E-09	2.522E+00	2.801E+02	2.821E+02	2.206E-07	3.016E-07	2.300E-09	9.000E-10	1.700E-09	5.200E-09	2.523E+00	
23	15	8	1	0.000E+00	1.000E-08	3.500E-09	6.000E-10	2.565E+00	2.803E+02	2.824E+02	2.146E-07	2.934E-07	1.600E-09	2.100E-09	3.800E-09	1.100E-09	2.565E+00	
24	14	8	1	0.000E+00	0.000E+00	2.600E-09	7.000E-10	2.625E+00	2.817E+02	2.838E+02	2.013E-07	2.732E-07	1.000E-09	6.000E-10	3.200E-09	1.100E-09	2.625E+00	
25	13	8	1	0.000E+00	1.000E-08	3.000E-10	2.300E-09	2.736E+00	2.845E+02	2.862E+02	1.831E-07	2.467E-07	3.600E-09	2.100E-09	8.000E-10	1.100E-09	2.736E+00	
26	12	8	1	0.000E+00	0.000E+00	8.000E-10	3.000E-09	2.870E+00	2.864E+02	2.880E+02	1.706E-07	2.293E-07	4.400E-09	2.000E-10	7.000E-10	2.500E-09	2.871E+00	
27	11	8	1	0.000E+00	0.000E+00	5.000E-10	1.000E-10	2.849E+00	2.862E+02	2.876E+02	1.731E-07	2.316E-07	3.200E-09	4.100E-09	6.000E-10	1.400E-09	2.849E+00	
28	10	8	1	0.000E+00	0.000E+00	2.000E-10	1.900E-09	2.770E+00	2.840E+02	2.857E+02	1.872E-07	2.521E-07	3.800E-09	6.100E-09	1.400E-09	1.900E-09	2.770E+00	
