Program name	H0192AB_E4_CP1.dll
Lot number	C146419.00-CPTSTE07-250312-164618@CP
Wafer number	04
Date	2025/03/12
Time	16:49:16

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
LimitU				0.5V	0.5V	0.5V	80nA	3uA	200nA	4V	900V	900V	50V	640mohm	1V	80nA	80nA	150nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0uA	0nA	3V	700V	700V	-10V	0mohm	0V	0nA	0nA	0nA
Bias 1				 	 	 	 	 	 	100uA	250uA	1mA	 	1A	 	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	2A	 	 	 
Bias 3				2V	 	 	 	 	700V	 	 	 	 	 	 	 	 	600V
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V	 
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	2000uS	10000uS	8000uS	1000uS	50000uS	5000uS	12000uS	12000uS	10000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	17	6	1	1.32000E-002	1.30000E-003	9.00000E-004	2.89230E-009	1.60000E-009	1.47540E-008	3.49530E+000	7.29551E+002	7.33309E+002	3.75830E+000	5.82725E-001	7.97400E-001	1.56210E-009	1.88050E-009	1.52690E-009
7	15	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.12410E-009	1.60000E-009	1.50444E-008	3.49620E+000	7.48726E+002	7.51715E+002	2.98930E+000	5.78171E-001	7.97600E-001	1.13350E-009	1.83610E-009	1.03980E-009
11	13	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.51290E-009	1.40000E-009	1.85292E-008	3.51860E+000	7.34852E+002	7.38239E+002	3.38760E+000	5.72970E-001	7.98800E-001	1.48710E-009	1.67450E-009	2.29510E-009
20	9	8	5	1.32000E-002	1.20000E-003	9.00000E-004	3.23180E-009	1.40000E-009	1.38120E-005
24	11	8	1	1.32000E-002	1.30000E-003	9.00000E-004	3.49180E-009	1.80000E-009	7.83130E-009	3.47510E+000	7.77132E+002	7.79444E+002	2.31170E+000	5.56545E-001	7.97200E-001	1.18270E-009	1.84310E-009	5.24600E-010
28	13	8	1	1.31000E-002	1.30000E-003	1.00000E-003	3.25990E-009	1.50000E-009	8.28100E-009	3.45340E+000	7.78359E+002	7.80237E+002	1.87790E+000	5.70934E-001	7.96600E-001	1.21080E-009	1.81500E-009	5.52700E-010
32	15	8	1	1.32000E-002	1.30000E-003	9.00000E-004	3.80090E-009	1.80000E-009	1.20840E-009	3.45700E+000	7.67179E+002	7.68828E+002	1.64890E+000	5.83406E-001	7.96400E-001	1.28570E-009	1.84540E-009	2.00470E-009
36	17	8	1	1.33000E-002	1.30000E-003	1.00000E-003	3.45900E-009	1.50000E-009	4.43090E-009	3.44630E+000	7.70667E+002	7.72323E+002	1.65620E+000	5.80680E-001	7.96800E-001	1.25290E-009	1.95780E-009	1.99530E-009
40	19	8	1	1.32000E-002	1.30000E-003	9.00000E-004	3.55740E-009	1.80000E-009	4.07490E-009	3.44350E+000	7.74584E+002	7.75864E+002	1.28020E+000	5.69523E-001	7.95700E-001	1.41220E-009	1.94140E-009	4.30900E-010
45	21	10	1	1.32000E-002	1.30000E-003	9.00000E-004	3.44030E-009	1.40000E-009	1.33960E-009	3.44820E+000	7.80325E+002	7.81523E+002	1.19790E+000	5.62469E-001	7.95200E-001	8.80600E-010	1.66040E-009	2.61360E-009
49	19	10	1	1.32000E-002	1.20000E-003	1.00000E-003	4.17090E-009	1.70000E-009	3.48480E-009	3.45080E+000	7.62912E+002	7.64489E+002	1.57710E+000	5.85771E-001	7.96100E-001	1.27870E-009	1.95080E-009	1.84540E-009
53	17	10	1	1.32000E-002	1.30000E-003	1.00000E-003	4.76110E-009	1.60000E-009	1.44260E-009	3.45710E+000	7.57601E+002	7.59307E+002	1.70590E+000	5.92103E-001	7.96200E-001	1.34190E-009	1.72360E-009	1.03980E-009
57	15	10	1	1.31000E-002	1.30000E-003	1.00000E-003	5.35830E-009	1.80000E-009	2.94140E-009	3.46330E+000	7.61811E+002	7.63546E+002	1.73530E+000	5.91964E-001	7.97400E-001	1.11470E-009	1.79860E-009	2.02340E-009
61	13	10	1	1.31000E-002	1.30000E-003	9.00000E-004	4.43790E-009	1.70000E-009	1.33020E-009	3.46930E+000	7.68464E+002	7.69870E+002	1.40650E+000	5.83839E-001	7.97200E-001	1.38170E-009	1.82900E-009	7.30700E-010
65	11	10	1	1.32000E-002	1.30000E-003	1.00000E-003	3.94610E-009	1.50000E-009	3.73770E-009	3.47070E+000	7.80725E+002	7.82413E+002	1.68730E+000	5.72958E-001	7.97900E-001	1.19670E-009	1.64870E-009	1.24590E-009
69	9	10	1	1.32000E-002	1.40000E-003	9.00000E-004	3.30680E-009	1.60000E-009	4.42150E-009	3.47330E+000	7.78745E+002	7.80824E+002	2.07950E+000	5.55323E-001	7.96800E-001	1.28570E-009	1.87590E-009	1.97660E-009
73	7	10	3	1.32000E-002	1.50000E-003	9.00000E-004	1.38700E-005
79	7	12	1	1.32000E-002	1.20000E-003	9.00000E-004	3.33020E-009	1.70000E-009	8.11240E-009	3.48760E+000	7.68041E+002	7.70200E+002	2.15930E+000	5.61945E-001	7.97600E-001	1.12650E-009	1.65340E-009	1.75170E-009
