Program name	H0192AB_E4_CP1.dll
Lot number	C146419.00-CPTSTE07-250312-165021@CP
Wafer number	05
Date	2025/03/12
Time	16:53:19

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
LimitU				0.5V	0.5V	0.5V	80nA	3uA	200nA	4V	900V	900V	50V	640mohm	1V	80nA	80nA	150nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0uA	0nA	3V	700V	700V	-10V	0mohm	0V	0nA	0nA	0nA
Bias 1				 	 	 	 	 	 	100uA	250uA	1mA	 	1A	 	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	2A	 	 	 
Bias 3				2V	 	 	 	 	700V	 	 	 	 	 	 	 	 	600V
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V	 
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	2000uS	10000uS	8000uS	1000uS	50000uS	5000uS	12000uS	12000uS	10000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	17	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.13820E-009	1.20000E-009	4.73060E-009	3.48530E+000	7.63949E+002	7.67353E+002	3.40410E+000	5.58033E-001	7.99100E-001	1.03510E-009	1.95080E-009	1.15220E-009
7	15	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.34420E-009	1.40000E-009	3.79390E-009	3.48900E+000	7.71618E+002	7.73354E+002	1.73590E+000	5.60898E-001	7.98300E-001	1.05850E-009	2.00470E-009	6.18300E-010
11	13	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.95080E-009	1.40000E-009	7.07260E-009	3.51140E+000	7.67794E+002	7.69968E+002	2.17400E+000	5.54247E-001	7.99700E-001	1.02580E-009	1.73540E-009	2.11710E-009
20	9	8	1	1.32000E-002	1.20000E-003	9.00000E-004	3.63930E-009	1.50000E-009	2.11240E-008	3.57700E+000	7.16976E+002	7.22084E+002	5.10810E+000	5.62377E-001	8.00500E-001	1.19440E-009	1.90160E-009	3.56000E-010
24	11	8	1	1.32000E-002	1.30000E-003	9.00000E-004	3.60650E-009	1.50000E-009	9.73300E-009	3.48120E+000	7.82045E+002	7.84564E+002	2.51830E+000	5.49284E-001	7.98200E-001	1.11470E-009	1.69790E-009	3.74700E-010
28	13	8	1	1.32000E-002	1.30000E-003	9.00000E-004	3.82670E-009	1.60000E-009	2.41029E-008	3.46180E+000	7.87025E+002	7.89379E+002	2.35400E+000	5.57449E-001	7.98200E-001	1.18730E-009	1.78450E-009	1.47070E-009
32	15	8	1	1.31000E-002	1.30000E-003	9.00000E-004	4.09370E-009	1.60000E-009	4.59950E-009	3.45630E+000	7.81361E+002	7.83191E+002	1.83060E+000	5.70253E-001	7.98300E-001	1.33720E-009	1.81730E-009	4.68000E-011
36	17	8	1	1.31000E-002	1.20000E-003	9.00000E-004	3.60190E-009	1.40000E-009	2.87590E-009	3.43670E+000	7.80427E+002	7.82639E+002	2.21160E+000	5.66032E-001	7.98700E-001	1.14280E-009	1.89690E-009	5.24600E-010
40	19	8	1	1.31000E-002	1.30000E-003	1.00000E-003	4.22250E-009	1.50000E-009	2.74470E-009	3.43580E+000	7.83789E+002	7.83526E+002	-2.62700E-001	5.55507E-001	7.98100E-001	1.29740E-009	2.13580E-009	1.92040E-009
45	21	10	1	1.32000E-002	1.30000E-003	9.00000E-004	3.73530E-009	1.60000E-009	4.24350E-009	3.44970E+000	7.83742E+002	7.85948E+002	2.20570E+000	5.56456E-001	7.97700E-001	1.38640E-009	1.84540E-009	2.21080E-009
49	19	10	1	1.31000E-002	1.30000E-003	9.00000E-004	4.45430E-009	1.50000E-009	3.14750E-009	3.43480E+000	7.70305E+002	7.71906E+002	1.60090E+000	5.74400E-001	7.97600E-001	1.03280E-009	1.97660E-009	1.51760E-009
53	17	10	1	1.32000E-002	1.20000E-003	9.00000E-004	4.72360E-009	1.60000E-009	8.08430E-009	3.45360E+000	7.62700E+002	7.64321E+002	1.62160E+000	5.77334E-001	7.97700E-001	9.85900E-010	1.79620E-009	1.40500E-010
57	15	10	1	1.32000E-002	1.20000E-003	9.00000E-004	4.95080E-009	1.70000E-009	1.92505E-008	3.45240E+000	7.66038E+002	7.67736E+002	1.69800E+000	5.75557E-001	7.97900E-001	1.21540E-009	1.55030E-009	1.28340E-009
61	13	10	1	1.32000E-002	1.20000E-003	1.00000E-003	4.62530E-009	1.90000E-009	9.19900E-009	3.47020E+000	7.72107E+002	7.73921E+002	1.81460E+000	5.74021E-001	7.98100E-001	1.45670E-009	1.85950E-009	1.03980E-009
65	11	10	1	1.32000E-002	1.30000E-003	9.00000E-004	3.91570E-009	1.60000E-009	1.58219E-008	3.48190E+000	7.87069E+002	7.88696E+002	1.62740E+000	5.66300E-001	7.97800E-001	1.24120E-009	1.81260E-009	1.51760E-009
69	9	10	1	1.32000E-002	1.30000E-003	9.00000E-004	3.30210E-009	1.40000E-009	3.54100E-009	3.48050E+000	7.82782E+002	7.84916E+002	2.13420E+000	5.52123E-001	7.97200E-001	1.04210E-009	1.90400E-009	1.88290E-009
73	7	10	3	1.31000E-002	8.90000E-003	1.00000E-003	1.38700E-005
79	7	12	1	1.32000E-002	1.20000E-003	9.00000E-004	3.63000E-009	1.50000E-009	7.65330E-009	3.49230E+000	7.69628E+002	7.71813E+002	2.18540E+000	5.57260E-001	7.97000E-001	1.18730E-009	1.59480E-009	2.17330E-009
