Program name	H0192AB_E4_CP1.dll
Lot number	C146419.00-CPTSTE07-250312-172341@CP
Wafer number	13
Date	2025/03/12
Time	17:26:38

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
LimitU				0.5V	0.5V	0.5V	80nA	3uA	200nA	4V	900V	900V	50V	640mohm	1V	80nA	80nA	150nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0uA	0nA	3V	700V	700V	-10V	0mohm	0V	0nA	0nA	0nA
Bias 1				 	 	 	 	 	 	100uA	250uA	1mA	 	1A	 	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	2A	 	 	 
Bias 3				2V	 	 	 	 	700V	 	 	 	 	 	 	 	 	600V
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V	 
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	2000uS	10000uS	8000uS	1000uS	50000uS	5000uS	12000uS	12000uS	10000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	17	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.18030E-009	1.60000E-009	3.41920E-009	3.49120E+000	7.39821E+002	7.42964E+002	3.14330E+000	5.75360E-001	7.99600E-001	1.24590E-009	1.87820E-009	1.24590E-009
7	15	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.23420E-009	1.40000E-009	5.18030E-009	3.49150E+000	7.57689E+002	7.60417E+002	2.72820E+000	5.71506E-001	7.98600E-001	9.67200E-010	1.74470E-009	2.11710E-009
11	13	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.81960E-009	1.80000E-009	7.77510E-009	3.50400E+000	7.36498E+002	7.39690E+002	3.19210E+000	5.70785E-001	7.99800E-001	1.11240E-009	1.91330E-009	2.34200E-010
20	9	8	5	1.31000E-002	1.20000E-003	9.00000E-004	3.00700E-009	1.20000E-009	1.38140E-005
24	11	8	1	1.33000E-002	1.20000E-003	9.00000E-004	3.19900E-009	1.50000E-009	8.40280E-009	3.48170E+000	7.79569E+002	7.81837E+002	2.26870E+000	5.51302E-001	7.98200E-001	1.14990E-009	1.64640E-009	5.80800E-010
28	13	8	1	1.33000E-002	1.20000E-003	9.00000E-004	3.59010E-009	1.60000E-009	4.29970E-009	3.46920E+000	7.85405E+002	7.87636E+002	2.23090E+000	5.60585E-001	7.98400E-001	1.35130E-009	1.92740E-009	1.40510E-009
32	15	8	1	1.31000E-002	1.20000E-003	1.00000E-003	3.88290E-009	1.80000E-009	3.95310E-009	3.46180E+000	7.73198E+002	7.74830E+002	1.63200E+000	5.74368E-001	7.98400E-001	1.22250E-009	2.01170E-009	2.81000E-011
36	17	8	1	1.31000E-002	1.30000E-003	1.00000E-003	4.04450E-009	1.40000E-009	2.46370E-009	3.45970E+000	7.75828E+002	7.77665E+002	1.83770E+000	5.68667E-001	7.99200E-001	9.83600E-010	1.67210E-009	1.03040E-009
40	19	8	1	1.31000E-002	1.30000E-003	9.00000E-004	3.98120E-009	1.70000E-009	3.25060E-009	3.45830E+000	7.77423E+002	7.80392E+002	2.96860E+000	5.60729E-001	7.98400E-001	1.32550E-009	1.84310E-009	1.51760E-009
45	21	10	1	1.31000E-002	1.20000E-003	9.00000E-004	3.60420E-009	1.60000E-009	1.08660E-009	3.46530E+000	7.79776E+002	7.82163E+002	2.38700E+000	5.57383E-001	7.97900E-001	1.37240E-009	1.90630E-009	2.00470E-009
49	19	10	1	1.32000E-002	1.30000E-003	9.00000E-004	4.64870E-009	1.50000E-009	3.24120E-009	3.46630E+000	7.64730E+002	7.66436E+002	1.70610E+000	5.79968E-001	7.98200E-001	1.17330E-009	1.88990E-009	1.89230E-009
53	17	10	1	1.32000E-002	1.20000E-003	1.00000E-003	4.99060E-009	1.40000E-009	6.18260E-009	3.43590E+000	7.59474E+002	7.61106E+002	1.63170E+000	5.84622E-001	7.97800E-001	1.00940E-009	1.72360E-009	2.49180E-009
57	15	10	1	1.32000E-002	1.30000E-003	1.00000E-003	4.83600E-009	1.50000E-009	1.06510E-008	3.46220E+000	7.60172E+002	7.61791E+002	1.61820E+000	5.84899E-001	7.98400E-001	1.12650E-009	1.90160E-009	3.37200E-010
61	13	10	1	1.31000E-002	1.30000E-003	1.00000E-003	4.82670E-009	1.50000E-009	6.73530E-009	3.47450E+000	7.71183E+002	7.72748E+002	1.56570E+000	5.80435E-001	7.98300E-001	1.30210E-009	1.83840E-009	1.98590E-009
65	11	10	1	1.32000E-002	1.20000E-003	9.00000E-004	3.85010E-009	1.30000E-009	6.33250E-009	3.47710E+000	7.83083E+002	7.84681E+002	1.59790E+000	5.69662E-001	7.98300E-001	8.22000E-010	1.63000E-009	2.09830E-009
69	9	10	1	1.32000E-002	1.30000E-003	1.00000E-003	3.60190E-009	1.60000E-009	7.99990E-009	3.47620E+000	7.78691E+002	7.81302E+002	2.61060E+000	5.53854E-001	7.97500E-001	1.31620E-009	1.88290E-009	1.63930E-009
73	7	10	2	1.32000E-002	4.09300E+000
79	7	12	1	1.31000E-002	1.20000E-003	9.00000E-004	3.56670E-009	1.60000E-009	1.06322E-008	3.48430E+000	7.56002E+002	7.59139E+002	3.13660E+000	5.66435E-001	7.98200E-001	1.22010E-009	1.75170E-009	5.15200E-010
