Program name	H0192AB_E4_CP1.dll
Lot number	C146419.00-CPTSTE07-250312-163410@CP
Wafer number	01
Date	2025/03/12
Time	16:37:07

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
LimitU				0.5V	0.5V	0.5V	80nA	3uA	200nA	4V	900V	900V	50V	640mohm	1V	80nA	80nA	150nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0uA	0nA	3V	700V	700V	-10V	0mohm	0V	0nA	0nA	0nA
Bias 1				 	 	 	 	 	 	100uA	250uA	1mA	 	1A	 	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	2A	 	 	 
Bias 3				2V	 	 	 	 	700V	 	 	 	 	 	 	 	 	600V
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V	 
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	2000uS	10000uS	8000uS	1000uS	50000uS	5000uS	12000uS	12000uS	10000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	17	6	1	1.32000E-002	1.30000E-003	1.00000E-003	2.85950E-009	1.50000E-009	8.01870E-009	3.47720E+000	7.52238E+002	7.55378E+002	3.13990E+000	5.61413E-001	7.99000E-001	1.16630E-009	1.80090E-009	6.65100E-010
7	15	6	1	1.32000E-002	1.30000E-003	9.00000E-004	3.03510E-009	1.50000E-009	9.94840E-009	3.47780E+000	7.61202E+002	7.63544E+002	2.34190E+000	5.64122E-001	7.98000E-001	1.03980E-009	1.80560E-009	1.77980E-009
11	13	6	1	1.32000E-002	1.40000E-003	1.00000E-003	3.92270E-009	1.60000E-009	1.19625E-008	3.49240E+000	7.43302E+002	7.46523E+002	3.22080E+000	5.62037E-001	7.99300E-001	1.47540E-009	1.87590E-009	1.59200E-010
20	9	8	1	1.31000E-002	1.20000E-003	1.00000E-003	3.32080E-009	1.70000E-009	2.25010E-008	3.56120E+000	7.05544E+002	7.10454E+002	4.91000E+000	5.62732E-001	7.99500E-001	1.50580E-009	1.78450E-009	4.30900E-010
24	11	8	1	1.31000E-002	1.30000E-003	1.00000E-003	3.24350E-009	1.40000E-009	7.08190E-009	3.47230E+000	7.78176E+002	7.80678E+002	2.50180E+000	5.48821E-001	7.97300E-001	9.53200E-010	1.66740E-009	8.99300E-010
28	13	8	1	1.31000E-002	1.20000E-003	1.00000E-003	3.93440E-009	1.70000E-009	4.43651E-008	3.45940E+000	7.82980E+002	7.85743E+002	2.76290E+000	5.58585E-001	7.97100E-001	1.19670E-009	1.76350E-009	1.36770E-009
32	15	8	1	1.32000E-002	1.30000E-003	1.00000E-003	3.80560E-009	1.50000E-009	2.01123E-008	3.45480E+000	7.73529E+002	7.75365E+002	1.83550E+000	5.72334E-001	7.97900E-001	1.03750E-009	1.78690E-009	1.21780E-009
36	17	8	1	1.31000E-002	1.30000E-003	9.00000E-004	3.62530E-009	1.80000E-009	6.09830E-009	3.43760E+000	7.77279E+002	7.79298E+002	2.01920E+000	5.64619E-001	7.98700E-001	1.17100E-009	1.92740E-009	2.08900E-009
40	19	8	1	1.32000E-002	1.30000E-003	1.00000E-003	3.87120E-009	1.30000E-009	4.77750E-009	3.44210E+000	7.77544E+002	7.80220E+002	2.67540E+000	5.54417E-001	7.98000E-001	9.04000E-010	1.89230E-009	1.57380E-009
45	21	10	1	1.32000E-002	1.30000E-003	1.00000E-003	2.95310E-009	1.40000E-009	2.39810E-009	3.45930E+000	7.82183E+002	7.84159E+002	1.97650E+000	5.54005E-001	7.97900E-001	9.95300E-010	1.72600E-009	2.87590E-009
49	19	10	1	1.32000E-002	1.30000E-003	1.00000E-003	4.26930E-009	1.70000E-009	3.56910E-009	3.46160E+000	7.69072E+002	7.70692E+002	1.62020E+000	5.70227E-001	7.97900E-001	1.04450E-009	1.98590E-009	2.12640E-009
53	17	10	1	1.32000E-002	1.20000E-003	9.00000E-004	5.14750E-009	1.30000E-009	7.78450E-009	3.44830E+000	7.61996E+002	7.63559E+002	1.56270E+000	5.73481E-001	7.97400E-001	9.36800E-010	1.70720E-009	1.79860E-009
57	15	10	1	1.32000E-002	1.30000E-003	1.00000E-003	5.05620E-009	1.40000E-009	9.18030E-009	3.45320E+000	7.61365E+002	7.62895E+002	1.53060E+000	5.76236E-001	7.97100E-001	1.12180E-009	1.77050E-009	1.33020E-009
61	13	10	1	1.31000E-002	1.30000E-003	1.00000E-003	4.58310E-009	1.20000E-009	5.15220E-009	3.46750E+000	7.67369E+002	7.69188E+002	1.81980E+000	5.73392E-001	7.96900E-001	7.82200E-010	1.74940E-009	1.86420E-009
65	11	10	1	1.31000E-002	1.30000E-003	1.00000E-003	4.05850E-009	1.60000E-009	7.88750E-009	3.47840E+000	7.81855E+002	7.83467E+002	1.61220E+000	5.66069E-001	7.97300E-001	9.93000E-010	1.87120E-009	1.10540E-009
69	9	10	1	1.32000E-002	1.30000E-003	1.00000E-003	3.30680E-009	1.40000E-009	7.36290E-009	3.47790E+000	7.78662E+002	7.80728E+002	2.06590E+000	5.52076E-001	7.97300E-001	1.13110E-009	1.57610E-009	2.12640E-009
73	7	10	3	1.32000E-002	1.60000E-003	9.00000E-004	1.38690E-005
79	7	12	1	1.31000E-002	1.20000E-003	1.00000E-003	2.98830E-009	1.30000E-009	8.40280E-009	3.49460E+000	7.64716E+002	7.67248E+002	2.53220E+000	5.54526E-001	7.97700E-001	9.08700E-010	1.80800E-009	3.93400E-010
