Program name	H0192AB_E4_CP1.dll
Lot number	C146419.00-CPTSTE07-250312-165428@CP
Wafer number	06
Date	2025/03/12
Time	16:57:26

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
LimitU				0.5V	0.5V	0.5V	80nA	3uA	200nA	4V	900V	900V	50V	640mohm	1V	80nA	80nA	150nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0uA	0nA	3V	700V	700V	-10V	0mohm	0V	0nA	0nA	0nA
Bias 1				 	 	 	 	 	 	100uA	250uA	1mA	 	1A	 	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	2A	 	 	 
Bias 3				2V	 	 	 	 	700V	 	 	 	 	 	 	 	 	600V
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V	 
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	2000uS	10000uS	8000uS	1000uS	50000uS	5000uS	12000uS	12000uS	10000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	17	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.45900E-009	1.50000E-009	7.63460E-009	3.49950E+000	7.35077E+002	7.38420E+002	3.34270E+000	5.82622E-001	7.98600E-001	1.01870E-009	1.94850E-009	2.46370E-009
7	15	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.70260E-009	1.30000E-009	5.82670E-009	3.49410E+000	7.52570E+002	7.55536E+002	2.96540E+000	5.79364E-001	7.98100E-001	1.28100E-009	1.81500E-009	2.54800E-009
11	13	6	1	1.31000E-002	1.20000E-003	9.00000E-004	3.71430E-009	1.40000E-009	8.17790E-009	3.51940E+000	7.40602E+002	7.44629E+002	4.02720E+000	5.72778E-001	7.99600E-001	9.83600E-010	2.22010E-009	1.47070E-009
20	9	8	5	1.31000E-002	1.20000E-003	9.00000E-004	3.66040E-009	1.50000E-009	1.38110E-005
24	11	8	1	1.32000E-002	1.20000E-003	9.00000E-004	3.33250E-009	1.60000E-009	6.14520E-009	3.48010E+000	7.79341E+002	7.81534E+002	2.19280E+000	5.55793E-001	7.96700E-001	1.12880E-009	2.07020E-009	1.38640E-009
28	13	8	1	1.32000E-002	1.30000E-003	9.00000E-004	3.83840E-009	1.70000E-009	3.24120E-009	3.45720E+000	7.83866E+002	7.87005E+002	3.13890E+000	5.66013E-001	7.96200E-001	1.28340E-009	1.79160E-009	2.06100E-010
32	15	8	1	1.33000E-002	1.30000E-003	9.00000E-004	4.16160E-009	1.30000E-009	2.70162E-008	3.45870E+000	7.73772E+002	7.75674E+002	1.90160E+000	5.77563E-001	7.97200E-001	8.68800E-010	1.85240E-009	8.43000E-011
36	17	8	1	1.33000E-002	1.30000E-003	9.00000E-004	4.48010E-009	1.60000E-009	8.57140E-009	3.45220E+000	7.80851E+002	7.82190E+002	1.33910E+000	5.71201E-001	7.98100E-001	1.35360E-009	2.07260E-009	1.12400E-010
40	19	8	1	1.31000E-002	1.30000E-003	9.00000E-004	4.50580E-009	1.70000E-009	3.33490E-009	3.45020E+000	7.79017E+002	7.81050E+002	2.03270E+000	5.64156E-001	7.97500E-001	1.40750E-009	1.81730E-009	1.33960E-009
45	21	10	1	1.32000E-002	1.20000E-003	9.00000E-004	4.14750E-009	1.70000E-009	4.99290E-009	3.45700E+000	7.83868E+002	7.85210E+002	1.34170E+000	5.57079E-001	7.96100E-001	1.30210E-009	1.84070E-009	1.39580E-009
49	19	10	1	1.32000E-002	1.30000E-003	1.00000E-003	4.47540E-009	1.50000E-009	5.77980E-009	3.46230E+000	7.68239E+002	7.69894E+002	1.65560E+000	5.81380E-001	7.97500E-001	1.01400E-009	1.87820E-009	1.03980E-009
53	17	10	1	1.32000E-002	1.30000E-003	9.00000E-004	5.30210E-009	1.40000E-009	6.10770E-009	3.46620E+000	7.62265E+002	7.64125E+002	1.86000E+000	5.88746E-001	7.97100E-001	1.17800E-009	1.93910E-009	2.71660E-009
57	15	10	1	1.32000E-002	1.30000E-003	9.00000E-004	5.64400E-009	1.30000E-009	4.44960E-009	3.45830E+000	7.60157E+002	7.61858E+002	1.70090E+000	5.91826E-001	7.97500E-001	1.22010E-009	1.61830E-009	2.41680E-009
61	13	10	1	1.33000E-002	1.30000E-003	1.00000E-003	4.72600E-009	1.90000E-009	3.40040E-009	3.47660E+000	7.66906E+002	7.68575E+002	1.66870E+000	5.87088E-001	7.97000E-001	1.33250E-009	1.74940E-009	1.44260E-009
65	11	10	1	1.32000E-002	1.20000E-003	9.00000E-004	3.96950E-009	1.60000E-009	1.35830E-009	3.47960E+000	7.83789E+002	7.85310E+002	1.52080E+000	5.72714E-001	7.96200E-001	1.42620E-009	1.93440E-009	9.37000E-011
69	9	10	1	1.32000E-002	1.30000E-003	1.00000E-003	4.09370E-009	1.20000E-009	1.92040E-009	3.47590E+000	7.79035E+002	7.81473E+002	2.43790E+000	5.58375E-001	7.96000E-001	9.81300E-010	1.73070E-009	2.12640E-009
73	7	10	3	1.32000E-002	1.20000E-003	9.00000E-004	1.38720E-005
79	7	12	1	1.33000E-002	1.30000E-003	9.00000E-004	3.51290E-009	1.40000E-009	3.72830E-009	3.50070E+000	7.56668E+002	7.59711E+002	3.04330E+000	5.69699E-001	7.96700E-001	1.14050E-009	1.72130E-009	1.98590E-009
