Program name	H0192AB_E4_CP1.dll
Lot number	C146419.00-CPTSTE07-250312-164215@CP
Wafer number	03
Date	2025/03/12
Time	16:45:13

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
LimitU				0.5V	0.5V	0.5V	80nA	3uA	200nA	4V	900V	900V	50V	640mohm	1V	80nA	80nA	150nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0uA	0nA	3V	700V	700V	-10V	0mohm	0V	0nA	0nA	0nA
Bias 1				 	 	 	 	 	 	100uA	250uA	1mA	 	1A	 	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	2A	 	 	 
Bias 3				2V	 	 	 	 	700V	 	 	 	 	 	 	 	 	600V
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V	 
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	2000uS	10000uS	8000uS	1000uS	50000uS	5000uS	12000uS	12000uS	10000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	17	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.36300E-009	1.80000E-009	2.00470E-009	3.47940E+000	7.43681E+002	7.46929E+002	3.24780E+000	5.74936E-001	7.96400E-001	1.37940E-009	2.09830E-009	4.30900E-010
7	15	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.84070E-009	1.60000E-009	2.37000E-009	3.47430E+000	7.59260E+002	7.62127E+002	2.86670E+000	5.73789E-001	7.96900E-001	1.15220E-009	1.73540E-009	1.94850E-009
11	13	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.81960E-009	1.50000E-009	1.19910E-009	3.50450E+000	7.40025E+002	7.43340E+002	3.31480E+000	5.70745E-001	7.98200E-001	1.16390E-009	1.77050E-009	3.22250E-009
20	9	8	1	1.32000E-002	1.20000E-003	9.00000E-004	2.65340E-009	1.50000E-009	5.83600E-009	3.56450E+000	7.06862E+002	7.12165E+002	5.30310E+000	5.67170E-001	7.99400E-001	1.10070E-009	1.87590E-009	2.06090E-009
24	11	8	1	1.32000E-002	1.20000E-003	9.00000E-004	3.05150E-009	1.40000E-009	1.13350E-009	3.47420E+000	7.82023E+002	7.84482E+002	2.45900E+000	5.54454E-001	7.95900E-001	8.36100E-010	1.78220E-009	1.81730E-009
28	13	8	1	1.31000E-002	1.20000E-003	9.00000E-004	4.03510E-009	1.60000E-009	6.55700E-010	3.44850E+000	7.85215E+002	7.88084E+002	2.86880E+000	5.68255E-001	7.96100E-001	1.20370E-009	1.89230E-009	2.53860E-009
32	15	8	1	1.32000E-002	1.20000E-003	9.00000E-004	4.48240E-009	1.60000E-009	2.37000E-009	3.44150E+000	7.74527E+002	7.76360E+002	1.83300E+000	5.83451E-001	7.96600E-001	1.06790E-009	1.48950E-009	1.16160E-009
36	17	8	1	1.31000E-002	1.30000E-003	9.00000E-004	4.21780E-009	1.70000E-009	1.63000E-009	3.44410E+000	7.76362E+002	7.78339E+002	1.97740E+000	5.77930E-001	7.96900E-001	1.03750E-009	1.79860E-009	2.84780E-009
40	19	8	1	1.31000E-002	1.30000E-003	9.00000E-004	3.55030E-009	1.50000E-009	6.37000E-010	3.44170E+000	7.82719E+002	7.83185E+002	4.65200E-001	5.62907E-001	7.95500E-001	1.31150E-009	2.12180E-009	1.82670E-009
45	21	10	1	1.32000E-002	1.20000E-003	9.00000E-004	3.24820E-009	1.60000E-009	3.84100E-010	3.44980E+000	7.84854E+002	7.87162E+002	2.30740E+000	5.60263E-001	7.95200E-001	1.08200E-009	1.85480E-009	1.23650E-009
49	19	10	1	1.31000E-002	1.30000E-003	9.00000E-004	4.34660E-009	1.40000E-009	2.48240E-009	3.45590E+000	7.73629E+002	7.75201E+002	1.57170E+000	5.77632E-001	7.95600E-001	1.06320E-009	1.64400E-009	2.20140E-009
53	17	10	1	1.31000E-002	1.30000E-003	9.00000E-004	5.59480E-009	1.40000E-009	1.31150E-009	3.45160E+000	7.63541E+002	7.65068E+002	1.52730E+000	5.84702E-001	7.96100E-001	9.34400E-010	1.81730E-009	2.10770E-009
57	15	10	1	1.32000E-002	1.20000E-003	1.00000E-003	5.70960E-009	1.90000E-009	3.21310E-009	3.45030E+000	7.61338E+002	7.62869E+002	1.53140E+000	5.86524E-001	7.97200E-001	1.18730E-009	1.88290E-009	2.14520E-009
61	13	10	1	1.32000E-002	1.30000E-003	9.00000E-004	4.81030E-009	1.60000E-009	3.03510E-009	3.46380E+000	7.69362E+002	7.71204E+002	1.84200E+000	5.80541E-001	7.96500E-001	1.08900E-009	1.87820E-009	1.08660E-009
65	11	10	1	1.32000E-002	1.20000E-003	9.00000E-004	3.59950E-009	1.60000E-009	1.84540E-009	3.48040E+000	7.86590E+002	7.88108E+002	1.51820E+000	5.71113E-001	7.95900E-001	1.27400E-009	1.96950E-009	8.33700E-010
69	9	10	1	1.32000E-002	1.30000E-003	9.00000E-004	3.34890E-009	1.40000E-009	1.65810E-009	3.47440E+000	7.83297E+002	7.85538E+002	2.24130E+000	5.54563E-001	7.95800E-001	8.82900E-010	1.83140E-009	1.95780E-009
73	7	10	3	1.32000E-002	7.20000E-003	9.00000E-004	1.38710E-005
79	7	12	1	1.32000E-002	1.20000E-003	9.00000E-004	3.20610E-009	1.40000E-009	1.83610E-009	3.48550E+000	7.72853E+002	7.75014E+002	2.16090E+000	5.54801E-001	7.96000E-001	1.06320E-009	1.78450E-009	1.11470E-009
