Program name	H0192AB_E4_CP1.dll
Lot number	C146419.00-CPTSTE07-250312-170641@CP
Wafer number	09
Date	2025/03/12
Time	17:09:38

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
LimitU				0.5V	0.5V	0.5V	80nA	3uA	200nA	4V	900V	900V	50V	640mohm	1V	80nA	80nA	150nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0uA	0nA	3V	700V	700V	-10V	0mohm	0V	0nA	0nA	0nA
Bias 1				 	 	 	 	 	 	100uA	250uA	1mA	 	1A	 	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	2A	 	 	 
Bias 3				2V	 	 	 	 	700V	 	 	 	 	 	 	 	 	600V
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V	 
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	2000uS	10000uS	8000uS	1000uS	50000uS	5000uS	12000uS	12000uS	10000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	17	6	1	1.32000E-002	1.20000E-003	9.00000E-004	2.81730E-009	1.60000E-009	6.94140E-009	3.49690E+000	7.34984E+002	7.38177E+002	3.19310E+000	5.80511E-001	7.99000E-001	1.01870E-009	1.92970E-009	2.20140E-009
7	15	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.33250E-009	1.70000E-009	5.42390E-009	3.50010E+000	7.50987E+002	7.53945E+002	2.95770E+000	5.76154E-001	7.98600E-001	1.11240E-009	2.03510E-009	2.66980E-009
11	13	6	1	1.31000E-002	1.20000E-003	9.00000E-004	3.59480E-009	1.50000E-009	5.26460E-009	3.51260E+000	7.37444E+002	7.41325E+002	3.88090E+000	5.71629E-001	8.00300E-001	1.12880E-009	1.94380E-009	1.77050E-009
20	9	8	5	1.32000E-002	1.20000E-003	9.00000E-004	3.16860E-009	1.60000E-009	1.38140E-005
24	11	8	1	1.32000E-002	1.20000E-003	9.00000E-004	3.39810E-009	1.60000E-009	5.18970E-009	3.48100E+000	7.79656E+002	7.81497E+002	1.84100E+000	5.51609E-001	7.98600E-001	1.23890E-009	1.66280E-009	2.24820E-009
28	13	8	1	1.33000E-002	1.20000E-003	9.00000E-004	3.44960E-009	1.60000E-009	1.12410E-009	3.46690E+000	7.81767E+002	7.83854E+002	2.08700E+000	5.63818E-001	7.98300E-001	1.22480E-009	1.76580E-009	6.83800E-010
32	15	8	1	1.33000E-002	1.20000E-003	9.00000E-004	4.23420E-009	1.60000E-009	2.73530E-009	3.46160E+000	7.70324E+002	7.71942E+002	1.61750E+000	5.77657E-001	7.98600E-001	1.23180E-009	2.21080E-009	2.51990E-009
36	17	8	1	1.32000E-002	1.30000E-003	9.00000E-004	3.91330E-009	1.70000E-009	5.18970E-009	3.45780E+000	7.72542E+002	7.74260E+002	1.71820E+000	5.72066E-001	7.99000E-001	1.49880E-009	2.05620E-009	1.87000E-011
40	19	8	1	1.32000E-002	1.40000E-003	1.00000E-003	3.81030E-009	1.20000E-009	4.34660E-009	3.44970E+000	7.76378E+002	7.79261E+002	2.88300E+000	5.63680E-001	7.97800E-001	1.02580E-009	1.93910E-009	1.76110E-009
45	21	10	1	1.32000E-002	1.20000E-003	1.00000E-003	3.50110E-009	1.70000E-009	8.55260E-009	3.45820E+000	7.79275E+002	7.81759E+002	2.48400E+000	5.58483E-001	7.96900E-001	1.26460E-009	1.90870E-009	1.33960E-009
49	19	10	1	1.31000E-002	1.30000E-003	9.00000E-004	4.12880E-009	1.70000E-009	8.81490E-009	3.46040E+000	7.64316E+002	7.65864E+002	1.54870E+000	5.80530E-001	7.97600E-001	1.10300E-009	1.64640E-009	2.11710E-009
53	17	10	1	1.32000E-002	1.30000E-003	9.00000E-004	4.58310E-009	1.80000E-009	4.96480E-009	3.46160E+000	7.57677E+002	7.59690E+002	2.01310E+000	5.84857E-001	7.97700E-001	1.06560E-009	1.81970E-009	2.96020E-009
57	15	10	1	1.32000E-002	1.30000E-003	9.00000E-004	4.99530E-009	1.60000E-009	3.54002E-008	3.46200E+000	7.55324E+002	7.57075E+002	1.75100E+000	5.87087E-001	7.98700E-001	1.20370E-009	1.77750E-009	1.09600E-009
61	13	10	1	1.33000E-002	1.30000E-003	9.00000E-004	4.82900E-009	1.50000E-009	3.98120E-009	3.47700E+000	7.62249E+002	7.64016E+002	1.76710E+000	5.82625E-001	7.98700E-001	1.12880E-009	1.84070E-009	1.89230E-009
65	11	10	1	1.31000E-002	1.30000E-003	1.00000E-003	4.17330E-009	1.70000E-009	1.39580E-009	3.48060E+000	7.80673E+002	7.82306E+002	1.63320E+000	5.70963E-001	7.98700E-001	7.49400E-010	1.75170E-009	2.84780E-009
69	9	10	1	1.32000E-002	1.30000E-003	9.00000E-004	3.42850E-009	1.60000E-009	6.97890E-009	3.47740E+000	7.78338E+002	7.80449E+002	2.11080E+000	5.54656E-001	7.97900E-001	9.93000E-010	1.91570E-009	1.91100E-009
73	7	10	2	1.32000E-002	4.09300E+000
79	7	12	1	1.33000E-002	1.30000E-003	9.00000E-004	3.17330E-009	1.50000E-009	8.40280E-009	3.49130E+000	7.56460E+002	7.59281E+002	2.82120E+000	5.66773E-001	7.98100E-001	1.37940E-009	1.94140E-009	3.65300E-010
