Program name	H0192AB_E4_CP1.dll
Lot number	C146419.00-CPTSTE07-250312-165834@CP
Wafer number	07
Date	2025/03/12
Time	17:01:32

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
LimitU				0.5V	0.5V	0.5V	80nA	3uA	200nA	4V	900V	900V	50V	640mohm	1V	80nA	80nA	150nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0uA	0nA	3V	700V	700V	-10V	0mohm	0V	0nA	0nA	0nA
Bias 1				 	 	 	 	 	 	100uA	250uA	1mA	 	1A	 	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	2A	 	 	 
Bias 3				2V	 	 	 	 	700V	 	 	 	 	 	 	 	 	600V
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V	 
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	2000uS	10000uS	8000uS	1000uS	50000uS	5000uS	12000uS	12000uS	10000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	17	6	1	1.32000E-002	1.20000E-003	9.00000E-004	2.99530E-009	1.60000E-009	1.14280E-009	3.48240E+000	7.54893E+002	7.57814E+002	2.92150E+000	5.66498E-001	7.96500E-001	1.22250E-009	1.96250E-009	7.02600E-010
7	15	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.27160E-009	1.40000E-009	1.34890E-009	3.48280E+000	7.68012E+002	7.69933E+002	1.92090E+000	5.62502E-001	7.96700E-001	1.18970E-009	1.85710E-009	2.13580E-009
11	13	6	1	1.31000E-002	1.20000E-003	9.00000E-004	3.58310E-009	1.50000E-009	3.66270E-009	3.50430E+000	7.55132E+002	7.58554E+002	3.42280E+000	5.56672E-001	7.98000E-001	1.25290E-009	1.94610E-009	1.03980E-009
20	9	8	1	1.31000E-002	1.20000E-003	9.00000E-004	3.36300E-009	1.30000E-009	2.16298E-008	3.55220E+000	7.04167E+002	7.09036E+002	4.86890E+000	5.64361E-001	7.99600E-001	7.51800E-010	1.75880E-009	1.14280E-009
24	11	8	1	1.33000E-002	1.20000E-003	9.00000E-004	3.44030E-009	1.60000E-009	2.46370E-009	3.47280E+000	7.79452E+002	7.81828E+002	2.37590E+000	5.53056E-001	7.96100E-001	1.18970E-009	1.59250E-009	2.27630E-009
28	13	8	1	1.31000E-002	1.30000E-003	9.00000E-004	3.84780E-009	1.40000E-009	2.20140E-009	3.45590E+000	7.83992E+002	7.86329E+002	2.33650E+000	5.63455E-001	7.96200E-001	1.33250E-009	1.80090E-009	2.19200E-009
32	15	8	1	1.33000E-002	1.20000E-003	1.00000E-003	3.92740E-009	1.50000E-009	2.16390E-009	3.45600E+000	7.73375E+002	7.75144E+002	1.76890E+000	5.76936E-001	7.96400E-001	1.14520E-009	1.98360E-009	1.48010E-009
36	17	8	1	1.32000E-002	1.30000E-003	9.00000E-004	3.85240E-009	1.50000E-009	1.72360E-009	3.43690E+000	7.74966E+002	7.76938E+002	1.97220E+000	5.73024E-001	7.96800E-001	1.11010E-009	1.91800E-009	2.02340E-009
40	19	8	1	1.32000E-002	1.30000E-003	9.00000E-004	4.10540E-009	1.50000E-009	2.64170E-009	3.43920E+000	7.79246E+002	7.80248E+002	1.00240E+000	5.61547E-001	7.95500E-001	1.13110E-009	1.61120E-009	3.12880E-009
45	21	10	1	1.31000E-002	1.30000E-003	9.00000E-004	4.03510E-009	1.40000E-009	9.93000E-010	3.45610E+000	7.81854E+002	7.84735E+002	2.88100E+000	5.60842E-001	7.95300E-001	1.22950E-009	1.54570E-009	1.77980E-009
49	19	10	1	1.32000E-002	1.30000E-003	1.00000E-003	4.03980E-009	1.60000E-009	1.09600E-009	3.45620E+000	7.68491E+002	7.69615E+002	1.12420E+000	5.77568E-001	7.95400E-001	1.31620E-009	1.75640E-009	1.18030E-009
53	17	10	1	1.31000E-002	1.30000E-003	9.00000E-004	4.75170E-009	1.70000E-009	2.08900E-009	3.44610E+000	7.57981E+002	7.59603E+002	1.62220E+000	5.83881E-001	7.96200E-001	1.22720E-009	1.85240E-009	2.69790E-009
57	15	10	1	1.32000E-002	1.30000E-003	9.00000E-004	4.96250E-009	1.50000E-009	2.66980E-009	3.44750E+000	7.58421E+002	7.60139E+002	1.71800E+000	5.83106E-001	7.97400E-001	9.22700E-010	1.75410E-009	2.77280E-009
61	13	10	1	1.32000E-002	1.30000E-003	1.00000E-003	4.64870E-009	1.50000E-009	1.10540E-009	3.46480E+000	7.69936E+002	7.71916E+002	1.98020E+000	5.74701E-001	7.96900E-001	1.34430E-009	1.94380E-009	1.32080E-009
65	11	10	1	1.32000E-002	1.30000E-003	9.00000E-004	3.88990E-009	1.50000E-009	3.88760E-009	3.47130E+000	7.82419E+002	7.83979E+002	1.56060E+000	5.68639E-001	7.96900E-001	1.20370E-009	1.66740E-009	1.78000E-010
69	9	10	1	1.31000E-002	1.30000E-003	9.00000E-004	3.18730E-009	1.60000E-009	2.07960E-009	3.47840E+000	7.80152E+002	7.82343E+002	2.19080E+000	5.53699E-001	7.96300E-001	1.13820E-009	1.58780E-009	1.88290E-009
73	7	10	3	1.32000E-002	2.56000E-002	9.00000E-004	1.38710E-005
79	7	12	1	1.31000E-002	1.20000E-003	9.00000E-004	3.80560E-009	1.70000E-009	2.23890E-009	3.48840E+000	7.63742E+002	7.65483E+002	1.74110E+000	5.58736E-001	7.96200E-001	1.30210E-009	1.72830E-009	2.04210E-009
