Program name	H0192AB_E4_CP1.dll
Lot number	C146419.00-CPTSTE07-250312-170237@CP
Wafer number	08
Date	2025/03/12
Time	17:05:36

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
LimitU				0.5V	0.5V	0.5V	80nA	3uA	200nA	4V	900V	900V	50V	640mohm	1V	80nA	80nA	150nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0uA	0nA	3V	700V	700V	-10V	0mohm	0V	0nA	0nA	0nA
Bias 1				 	 	 	 	 	 	100uA	250uA	1mA	 	1A	 	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	2A	 	 	 
Bias 3				2V	 	 	 	 	700V	 	 	 	 	 	 	 	 	600V
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V	 
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	2000uS	10000uS	8000uS	1000uS	50000uS	5000uS	12000uS	12000uS	10000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	17	6	1	1.31000E-002	1.20000E-003	9.00000E-004	3.50580E-009	1.60000E-009	1.03419E-008	3.50150E+000	7.57965E+002	7.60455E+002	2.48970E+000	5.68164E-001	7.98100E-001	1.41920E-009	1.82200E-009	3.74700E-010
7	15	6	5	1.32000E-002	1.20000E-003	9.00000E-004	3.37230E-009	1.40000E-009	5.19519E-007
11	13	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.68850E-009	1.20000E-009	8.72130E-009	3.53060E+000	7.60131E+002	7.62435E+002	2.30360E+000	5.59231E-001	7.99400E-001	1.03040E-009	1.94380E-009	2.47310E-009
20	9	8	1	1.32000E-002	1.20000E-003	9.00000E-004	3.64870E-009	1.50000E-009	8.38400E-009	3.58680E+000	7.14351E+002	7.18624E+002	4.27230E+000	5.61865E-001	7.99400E-001	1.24120E-009	1.77980E-009	2.72600E-009
24	11	8	1	1.32000E-002	1.20000E-003	9.00000E-004	3.42850E-009	1.60000E-009	2.56670E-009	3.47960E+000	7.79833E+002	7.82254E+002	2.42100E+000	5.52394E-001	7.96700E-001	1.14750E-009	1.90400E-009	3.20370E-009
28	13	8	1	1.32000E-002	1.30000E-003	9.00000E-004	3.87820E-009	1.70000E-009	1.30959E-008	3.46130E+000	7.84301E+002	7.86855E+002	2.55380E+000	5.63104E-001	7.97300E-001	1.21080E-009	1.70490E-009	1.66740E-009
32	15	8	1	1.33000E-002	1.30000E-003	1.00000E-003	4.03980E-009	1.80000E-009	8.54330E-009	3.45820E+000	7.75981E+002	7.77592E+002	1.61190E+000	5.72812E-001	7.97400E-001	1.40280E-009	1.79860E-009	0.00000E+000
36	17	8	1	1.32000E-002	1.30000E-003	9.00000E-004	3.96020E-009	1.50000E-009	8.86180E-009	3.45200E+000	7.77828E+002	7.79937E+002	2.10860E+000	5.68898E-001	7.98700E-001	1.13820E-009	2.00700E-009	3.74700E-010
40	19	8	1	1.31000E-002	1.30000E-003	9.00000E-004	4.65570E-009	1.30000E-009	1.02201E-008	3.44540E+000	7.80242E+002	7.80660E+002	4.18600E-001	5.58683E-001	7.97300E-001	8.73500E-010	1.82670E-009	1.76110E-009
45	21	10	1	1.32000E-002	1.30000E-003	1.00000E-003	3.75170E-009	1.40000E-009	7.96250E-009	3.45650E+000	7.83055E+002	7.85343E+002	2.28830E+000	5.57903E-001	7.96700E-001	1.14990E-009	1.74940E-009	1.09600E-009
49	19	10	1	1.32000E-002	1.30000E-003	9.00000E-004	4.51520E-009	1.60000E-009	6.73530E-009	3.45820E+000	7.66757E+002	7.68514E+002	1.75760E+000	5.76866E-001	7.97500E-001	1.23420E-009	1.94380E-009	2.52930E-009
53	17	10	1	1.33000E-002	1.30000E-003	9.00000E-004	5.17090E-009	1.50000E-009	6.81030E-009	3.45340E+000	7.59970E+002	7.61897E+002	1.92660E+000	5.80707E-001	7.96700E-001	1.17100E-009	1.74000E-009	1.89230E-009
57	15	10	1	1.32000E-002	1.30000E-003	1.00000E-003	5.03510E-009	1.40000E-009	3.02570E-009	3.46010E+000	7.59687E+002	7.61290E+002	1.60280E+000	5.82594E-001	7.97300E-001	1.09840E-009	1.82430E-009	1.87350E-009
61	13	10	1	1.33000E-002	1.30000E-003	1.00000E-003	4.77980E-009	1.70000E-009	5.01170E-009	3.47260E+000	7.71043E+002	7.72873E+002	1.83020E+000	5.75271E-001	7.96900E-001	1.40510E-009	1.92270E-009	1.57380E-009
65	11	10	1	1.32000E-002	1.20000E-003	1.00000E-003	3.43560E-009	1.40000E-009	7.21310E-009	3.47640E+000	7.82196E+002	7.83847E+002	1.65200E+000	5.70558E-001	7.96800E-001	1.14520E-009	1.85710E-009	2.28570E-009
69	9	10	1	1.31000E-002	1.30000E-003	9.00000E-004	3.72830E-009	1.70000E-009	1.09600E-009	3.47430E+000	7.80106E+002	7.82345E+002	2.23840E+000	5.57707E-001	7.96100E-001	1.27870E-009	1.93910E-009	2.41680E-009
73	7	10	3	1.32000E-002	1.20000E-003	8.00000E-004	1.38720E-005
79	7	12	1	1.32000E-002	1.20000E-003	9.00000E-004	3.31150E-009	1.70000E-009	1.40500E-010	3.49940E+000	7.66414E+002	7.68255E+002	1.84050E+000	5.60772E-001	7.96300E-001	1.25060E-009	1.79390E-009	2.77280E-009
