Program name	H0192AB_E4_CP1.dll
Lot number	C146419.00-CPTSTE07-250312-171445@CP
Wafer number	11
Date	2025/03/12
Time	17:18:36

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
LimitU				0.5V	0.5V	0.5V	80nA	3uA	200nA	4V	900V	900V	50V	640mohm	1V	80nA	80nA	150nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0uA	0nA	3V	700V	700V	-10V	0mohm	0V	0nA	0nA	0nA
Bias 1				 	 	 	 	 	 	100uA	250uA	1mA	 	1A	 	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	2A	 	 	 
Bias 3				2V	 	 	 	 	700V	 	 	 	 	 	 	 	 	600V
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V	 
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	2000uS	10000uS	8000uS	1000uS	50000uS	5000uS	12000uS	12000uS	10000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	17	6	5	1.32000E-002	1.10000E-003	9.00000E-004	3.28100E-009	1.50000E-009	5.46550E-006
7	15	6	1	1.32000E-002	1.10000E-003	9.00000E-004	3.48480E-009	1.60000E-009	2.24800E-010	3.52230E+000	7.55250E+002	7.57968E+002	2.71790E+000	5.89568E-001	7.97300E-001	1.18030E-009	1.80560E-009	1.55500E-009
11	13	6	1	1.31000E-002	1.10000E-003	9.00000E-004	3.88520E-009	1.80000E-009	4.08430E-009	3.53570E+000	7.51034E+002	7.54649E+002	3.61440E+000	5.79170E-001	7.98300E-001	1.32790E-009	1.72360E-009	9.64900E-010
20	9	8	5	1.32000E-002	1.10000E-003	9.00000E-004	3.68380E-009	9.00000E-010	1.38140E-005
24	11	8	1	1.31000E-002	1.20000E-003	9.00000E-004	3.37000E-009	1.70000E-009	2.00470E-009	3.48220E+000	7.83918E+002	7.84432E+002	5.14600E-001	5.59030E-001	7.96200E-001	1.29740E-009	1.78450E-009	1.48010E-009
28	13	8	1	1.32000E-002	1.10000E-003	9.00000E-004	3.15450E-009	1.30000E-009	4.68400E-010	3.46870E+000	7.85143E+002	7.87656E+002	2.51270E+000	5.70563E-001	7.96500E-001	1.17100E-009	1.81500E-009	3.55030E-009
32	15	8	1	1.31000E-002	1.20000E-003	1.00000E-003	3.69550E-009	1.80000E-009	1.15220E-009	3.46710E+000	7.73423E+002	7.75212E+002	1.78930E+000	5.84105E-001	7.97100E-001	1.44960E-009	1.83840E-009	2.05150E-009
36	17	8	1	1.32000E-002	1.10000E-003	1.00000E-003	3.56200E-009	1.40000E-009	1.68620E-009	3.43200E+000	7.73704E+002	7.75583E+002	1.87900E+000	5.80544E-001	7.97000E-001	8.50100E-010	1.76810E-009	1.76110E-009
40	19	8	1	1.31000E-002	1.20000E-003	1.00000E-003	4.12880E-009	1.50000E-009	1.62060E-009	3.45320E+000	7.81771E+002	7.82461E+002	6.89800E-001	5.67880E-001	7.95600E-001	1.23420E-009	1.91330E-009	3.18500E-009
45	21	10	1	1.32000E-002	1.20000E-003	1.00000E-003	3.75880E-009	1.60000E-009	1.01170E-009	3.45490E+000	7.83559E+002	7.84764E+002	1.20580E+000	5.60841E-001	7.95400E-001	9.60200E-010	1.81970E-009	1.58310E-009
49	19	10	1	1.32000E-002	1.20000E-003	9.00000E-004	4.17090E-009	1.60000E-009	1.76110E-009	3.46690E+000	7.65375E+002	7.67017E+002	1.64220E+000	5.86159E-001	7.96000E-001	1.27870E-009	1.79620E-009	3.09100E-010
53	17	10	1	1.33000E-002	1.20000E-003	9.00000E-004	4.51050E-009	1.40000E-009	1.10540E-009	3.43980E+000	7.57102E+002	7.58783E+002	1.68180E+000	5.93040E-001	7.96100E-001	9.74200E-010	1.58080E-009	3.25060E-009
57	15	10	1	1.32000E-002	1.20000E-003	9.00000E-004	4.71430E-009	1.60000E-009	2.74470E-009	3.45100E+000	7.60446E+002	7.62091E+002	1.64470E+000	5.92860E-001	7.97300E-001	1.03980E-009	1.78450E-009	3.06320E-009
61	13	10	1	1.32000E-002	1.20000E-003	9.00000E-004	4.67210E-009	1.50000E-009	2.63230E-009	3.47320E+000	7.68267E+002	7.70085E+002	1.81870E+000	5.85774E-001	7.97000E-001	1.04680E-009	1.73770E-009	2.33250E-009
65	11	10	1	1.31000E-002	1.20000E-003	9.00000E-004	3.43790E-009	1.70000E-009	1.26460E-009	3.48160E+000	7.88449E+002	7.89886E+002	1.43690E+000	5.71296E-001	7.96700E-001	1.31620E-009	1.79860E-009	1.46130E-009
69	9	10	1	1.32000E-002	1.20000E-003	1.00000E-003	3.25290E-009	1.70000E-009	1.86420E-009	3.47870E+000	7.82891E+002	7.84865E+002	1.97420E+000	5.56279E-001	7.95700E-001	1.28570E-009	1.99760E-009	1.51760E-009
73	7	10	3	1.33000E-002	6.70000E-003	1.20000E-003	1.38720E-005
79	7	12	1	1.33000E-002	1.20000E-003	9.00000E-004	3.33250E-009	1.70000E-009	1.57380E-009	3.48800E+000	7.70229E+002	7.72463E+002	2.23380E+000	5.65993E-001	7.96100E-001	1.23650E-009	1.81970E-009	3.03510E-009
83	9	12	1	1.33000E-002	1.20000E-003	9.00000E-004	3.67910E-009	1.40000E-009	3.69080E-009	3.47000E+000	7.87643E+002	7.89264E+002	1.62140E+000	5.66346E-001	7.96300E-001	1.35830E-009	1.64870E-009	8.15000E-010
