Program name	H0192AB_E4_CP1.dll
Lot number	C146419.00-CPTSTE07-250312-171940@CP
Wafer number	12
Date	2025/03/12
Time	17:22:37

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
LimitU				0.5V	0.5V	0.5V	80nA	3uA	200nA	4V	900V	900V	50V	640mohm	1V	80nA	80nA	150nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0uA	0nA	3V	700V	700V	-10V	0mohm	0V	0nA	0nA	0nA
Bias 1				 	 	 	 	 	 	100uA	250uA	1mA	 	1A	 	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	2A	 	 	 
Bias 3				2V	 	 	 	 	700V	 	 	 	 	 	 	 	 	600V
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V	 
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	2000uS	10000uS	8000uS	1000uS	50000uS	5000uS	12000uS	12000uS	10000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	17	6	1	1.31000E-002	1.20000E-003	9.00000E-004	3.51520E-009	1.50000E-009	1.32458E-008	3.50530E+000	7.38192E+002	7.41437E+002	3.24410E+000	5.71320E-001	7.97900E-001	1.29270E-009	1.83140E-009	5.34000E-010
7	15	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.60890E-009	1.60000E-009	1.18688E-008	3.51010E+000	7.45631E+002	7.48338E+002	2.70650E+000	5.73614E-001	7.97800E-001	1.27870E-009	1.84540E-009	7.30700E-010
11	13	6	1	1.32000E-002	1.20000E-003	9.00000E-004	4.01400E-009	1.00000E-009	3.06696E-008	3.53270E+000	7.13051E+002	7.16118E+002	3.06740E+000	5.73961E-001	7.98800E-001	1.22480E-009	1.64870E-009	5.24600E-010
20	9	8	5	1.32000E-002	1.20000E-003	9.00000E-004	3.27160E-009	1.20000E-009	1.38140E-005
24	11	8	1	1.32000E-002	1.30000E-003	9.00000E-004	3.39580E-009	1.50000E-009	1.20187E-008	3.47720E+000	7.73893E+002	7.76448E+002	2.55460E+000	5.52125E-001	7.97300E-001	1.50120E-009	1.83140E-009	1.17100E-009
28	13	8	1	1.33000E-002	1.20000E-003	1.00000E-003	3.48710E-009	1.30000E-009	9.92030E-009	3.46150E+000	7.77921E+002	7.80747E+002	2.82650E+000	5.64531E-001	7.96900E-001	1.04450E-009	1.86420E-009	8.05600E-010
32	15	8	1	1.32000E-002	1.30000E-003	9.00000E-004	4.43790E-009	1.50000E-009	3.82200E-009	3.46490E+000	7.69125E+002	7.70914E+002	1.78880E+000	5.77202E-001	7.96700E-001	1.08900E-009	1.85240E-009	9.64900E-010
36	17	8	1	1.32000E-002	1.20000E-003	9.00000E-004	4.01170E-009	1.60000E-009	8.05620E-009	3.46030E+000	7.73433E+002	7.75328E+002	1.89520E+000	5.72568E-001	7.97000E-001	1.25990E-009	1.71190E-009	6.37000E-010
40	19	8	1	1.32000E-002	1.30000E-003	1.00000E-003	3.98830E-009	1.50000E-009	4.43090E-009	3.45640E+000	7.73436E+002	7.76050E+002	2.61460E+000	5.60529E-001	7.96200E-001	1.04680E-009	1.63700E-009	1.64870E-009
45	21	10	1	1.32000E-002	1.20000E-003	9.00000E-004	3.91570E-009	1.50000E-009	2.16390E-009	3.46780E+000	7.79468E+002	7.81578E+002	2.11040E+000	5.58358E-001	7.95800E-001	1.19670E-009	1.81500E-009	2.20140E-009
49	19	10	1	1.32000E-002	1.20000E-003	1.00000E-003	4.51290E-009	1.50000E-009	5.76110E-009	3.45980E+000	7.64252E+002	7.65859E+002	1.60650E+000	5.77619E-001	7.96300E-001	1.06090E-009	1.85010E-009	1.18970E-009
53	17	10	1	1.33000E-002	1.30000E-003	1.00000E-003	5.23880E-009	1.50000E-009	4.40280E-009	3.24550E+000	7.58269E+002	7.59783E+002	1.51420E+000	5.82173E-001	7.95600E-001	1.03510E-009	1.59020E-009	6.55700E-010
57	15	10	1	1.32000E-002	1.30000E-003	9.00000E-004	5.31610E-009	1.40000E-009	2.89460E-009	3.46680E+000	7.56545E+002	7.58154E+002	1.60860E+000	5.83062E-001	7.97200E-001	1.09370E-009	1.71190E-009	1.97660E-009
61	13	10	1	1.33000E-002	1.30000E-003	9.00000E-004	5.17800E-009	1.60000E-009	2.62290E-009	3.47720E+000	7.63251E+002	7.65073E+002	1.82180E+000	5.77753E-001	7.97200E-001	1.09130E-009	1.79390E-009	1.78000E-010
65	11	10	1	1.32000E-002	1.30000E-003	9.00000E-004	3.73770E-009	1.50000E-009	5.44260E-009	3.47780E+000	7.78709E+002	7.80267E+002	1.55760E+000	5.68019E-001	7.98000E-001	1.05390E-009	1.91800E-009	2.33250E-009
69	9	10	1	1.31000E-002	1.30000E-003	9.00000E-004	3.60650E-009	1.50000E-009	5.53630E-009	3.47370E+000	7.75237E+002	7.77222E+002	1.98440E+000	5.53173E-001	7.96800E-001	1.00230E-009	1.88760E-009	1.64870E-009
73	7	10	3	1.33000E-002	1.60000E-003	9.00000E-004	1.38710E-005
79	7	12	1	1.32000E-002	1.20000E-003	9.00000E-004	3.62060E-009	1.60000E-009	7.58780E-009	3.49950E+000	7.61998E+002	7.63933E+002	1.93510E+000	5.54444E-001	7.97200E-001	9.71900E-010	1.76110E-009	5.05900E-010
