Program name	H0192AB_E4_CP1.dll
Lot number	C146419.00-CPTSTE07-250312-163813@CP
Wafer number	02
Date	2025/03/12
Time	16:41:10

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	IDSS1	VTH	BVDSS1	BVDSS2	BV2-BV1	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS3
LimitU				0.5V	0.5V	0.5V	80nA	3uA	200nA	4V	900V	900V	50V	640mohm	1V	80nA	80nA	150nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0uA	0nA	3V	700V	700V	-10V	0mohm	0V	0nA	0nA	0nA
Bias 1				 	 	 	 	 	 	100uA	250uA	1mA	 	1A	 	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	2A	 	 	 
Bias 3				2V	 	 	 	 	700V	 	 	 	 	 	 	 	 	600V
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V	 
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	2000uS	10000uS	8000uS	1000uS	50000uS	5000uS	12000uS	12000uS	10000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	17	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.32780E-009	1.40000E-009	3.88760E-009	3.49960E+000	7.39446E+002	7.42383E+002	2.93670E+000	5.85009E-001	7.97000E-001	7.40000E-010	1.88990E-009	1.04920E-009
7	15	6	1	1.32000E-002	1.20000E-003	1.00000E-003	3.39810E-009	1.60000E-009	5.53630E-009	3.50020E+000	7.48608E+002	7.51206E+002	2.59780E+000	5.84971E-001	7.97500E-001	1.18270E-009	1.86880E-009	4.12200E-010
11	13	6	1	1.32000E-002	1.20000E-003	9.00000E-004	3.67910E-009	1.30000E-009	8.19670E-009	3.52880E+000	7.38612E+002	7.42755E+002	4.14290E+000	5.76719E-001	7.98900E-001	1.14750E-009	1.91570E-009	2.03280E-009
20	9	8	5	1.31000E-002	1.20000E-003	9.00000E-004	2.82670E-009	1.30000E-009	1.38100E-005
24	11	8	1	1.31000E-002	1.20000E-003	9.00000E-004	3.26460E-009	1.50000E-009	1.24590E-009	3.47730E+000	7.78136E+002	7.80370E+002	2.23320E+000	5.57184E-001	7.95900E-001	1.16860E-009	1.92040E-009	3.58780E-009
28	13	8	1	1.32000E-002	1.20000E-003	9.00000E-004	3.89220E-009	1.80000E-009	2.48240E-009	3.46150E+000	7.80097E+002	7.82240E+002	2.14290E+000	5.72276E-001	7.96000E-001	1.30210E-009	1.91800E-009	1.68600E-010
32	15	8	1	1.32000E-002	1.20000E-003	9.00000E-004	3.92740E-009	1.40000E-009	6.27600E-010	3.46520E+000	7.65624E+002	7.67357E+002	1.73330E+000	5.84217E-001	7.96200E-001	9.67200E-010	1.73070E-009	1.71430E-009
36	17	8	1	1.32000E-002	1.30000E-003	1.00000E-003	3.78690E-009	1.70000E-009	3.01640E-009	3.45710E+000	7.72373E+002	7.74470E+002	2.09650E+000	5.78822E-001	7.96300E-001	1.10540E-009	2.00000E-009	2.96950E-009
40	19	8	1	1.32000E-002	1.20000E-003	1.00000E-003	4.02810E-009	1.40000E-009	6.10770E-009	3.44210E+000	7.77834E+002	7.78600E+002	7.65700E-001	5.67775E-001	7.95900E-001	1.22010E-009	1.72600E-009	2.22010E-009
45	21	10	1	1.32000E-002	1.30000E-003	9.00000E-004	3.56670E-009	1.60000E-009	1.69550E-009	3.45350E+000	7.81144E+002	7.83101E+002	1.95690E+000	5.61090E-001	7.95500E-001	1.04920E-009	1.93910E-009	1.70490E-009
49	19	10	1	1.32000E-002	1.20000E-003	1.00000E-003	4.30910E-009	1.70000E-009	1.12599E-008	3.46080E+000	7.58629E+002	7.60391E+002	1.76140E+000	5.84448E-001	7.96000E-001	1.17330E-009	1.97890E-009	1.88290E-009
53	17	10	1	1.32000E-002	1.20000E-003	9.00000E-004	5.05380E-009	1.30000E-009	4.28100E-009	3.46370E+000	7.49493E+002	7.51516E+002	2.02300E+000	5.92622E-001	7.96200E-001	8.92300E-010	1.75640E-009	2.91330E-009
57	15	10	1	1.32000E-002	1.30000E-003	9.00000E-004	5.44020E-009	1.60000E-009	3.37230E-009	3.46700E+000	7.42133E+002	7.43874E+002	1.74090E+000	5.98911E-001	7.97000E-001	1.15920E-009	1.77980E-009	1.80800E-009
61	13	10	1	1.32000E-002	1.30000E-003	1.00000E-003	4.87580E-009	1.70000E-009	3.20370E-009	3.47370E+000	7.54502E+002	7.56486E+002	1.98360E+000	5.88125E-001	7.96500E-001	1.47310E-009	1.67910E-009	1.94850E-009
65	11	10	1	1.31000E-002	1.30000E-003	1.00000E-003	3.77050E-009	1.50000E-009	7.60650E-009	3.47910E+000	7.71346E+002	7.73057E+002	1.71060E+000	5.76869E-001	7.96600E-001	1.03750E-009	2.01170E-009	1.58310E-009
69	9	10	1	1.32000E-002	1.30000E-003	1.00000E-003	3.60420E-009	1.80000E-009	1.50820E-009	3.47250E+000	7.77892E+002	7.79851E+002	1.95910E+000	5.58872E-001	7.95900E-001	1.31380E-009	2.05390E-009	1.63000E-009
73	7	10	3	1.32000E-002	1.20000E-003	9.00000E-004	1.38690E-005
79	7	12	1	1.32000E-002	1.20000E-003	9.00000E-004	3.41920E-009	1.70000E-009	1.04920E-009	3.50450E+000	7.60669E+002	7.63176E+002	2.50740E+000	5.67535E-001	7.96300E-001	1.19440E-009	1.89690E-009	7.21300E-010
