Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	3
Date	2025/03/03
Time	00:27:10

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	1	0.000E+00	0.000E+00	6.030E-07	5.570E-07	7.481E+02	7.554E+02	7.300E+00	1.110E-08	3.406E+00	3.092E-01	7.650E-01	1.169E-07	7.650E-08	4.300E-09	
2	47	5	1	0.000E+00	0.000E+00	5.270E-07	5.680E-07	7.374E+02	7.495E+02	1.210E+01	1.030E-08	3.381E+00	3.109E-01	7.650E-01	9.240E-08	8.190E-08	4.000E-09	
3	53	5	1	0.000E+00	0.000E+00	5.350E-07	6.490E-07	7.352E+02	7.441E+02	8.900E+00	1.040E-08	3.272E+00	3.139E-01	7.610E-01	9.610E-08	9.740E-08	3.900E-09	
4	47	7	1	0.000E+00	0.000E+00	4.920E-07	5.430E-07	7.496E+02	7.597E+02	1.010E+01	7.100E-09	3.324E+00	3.154E-01	7.630E-01	8.800E-08	7.190E-08	2.500E-09	
5	47	9	1	0.000E+00	0.000E+00	5.580E-07	5.300E-07	7.471E+02	7.563E+02	9.200E+00	7.100E-09	3.304E+00	3.167E-01	7.620E-01	9.780E-08	6.990E-08	2.500E-09	
6	23	11	1	0.000E+00	0.000E+00	4.670E-07	5.470E-07	7.646E+02	7.700E+02	5.400E+00	6.800E-09	3.448E+00	3.098E-01	7.640E-01	8.680E-08	7.430E-08	2.700E-09	
7	29	11	1	0.000E+00	0.000E+00	4.410E-07	5.120E-07	7.686E+02	7.722E+02	3.600E+00	6.800E-09	3.356E+00	3.121E-01	7.640E-01	7.570E-08	6.430E-08	2.700E-09	
8	35	11	1	0.000E+00	0.000E+00	7.720E-07	5.080E-07	7.585E+02	7.642E+02	5.700E+00	6.800E-09	3.342E+00	3.138E-01	7.630E-01	1.131E-07	6.740E-08	2.300E-09	
9	41	11	1	0.000E+00	1.000E-08	5.090E-07	5.460E-07	7.493E+02	7.552E+02	5.900E+00	6.900E-09	3.306E+00	3.157E-01	7.640E-01	8.700E-08	6.860E-08	2.300E-09	
10	47	11	1	0.000E+00	0.000E+00	4.520E-07	5.370E-07	7.433E+02	7.504E+02	7.100E+00	6.900E-09	3.304E+00	3.164E-01	7.630E-01	7.850E-08	6.900E-08	2.200E-09	
